chrom1,start1,end1,chrom2,start2,end2,name,Zscore,strand1,strand2
chr1,1709924,1712815,chr1,1777444,1780781,143,1e-10,.,.
chr1,1714443,1716455,chr1,1810991,1814315,144,1.99e-10,.,.
chr1,1716613,1719830,chr1,1729736,1733426,145,1e-10,.,.
chr1,1728110,1729889,chr1,1766043,1770200,146,1e-10,.,.
chr1,1744144,1747718,chr1,1810548,1813094,148,2.34e-10,.,.
chr1,1753729,1756381,chr1,1810485,1814538,150,4.1e-10,.,.
chr1,1764806,1768007,chr1,1798094,1800228,152,1e-10,.,.
chr1,1767843,1771319,chr1,1811174,1813445,153,1e-10,.,.
chr1,1768146,1770664,chr1,1818857,1821230,154,1e-10,.,.
chr1,1769275,1772413,chr1,1778960,1781520,155,1e-10,.,.
chr1,1773329,1776960,chr1,1809998,1813237,156,3.24e-10,.,.
chr1,1828864,1833357,chr1,1964673,1967927,159,1e-10,.,.
chr1,1829178,1832179,chr1,2125260,2127955,160,1e-10,.,.
chr1,1837082,1842177,chr1,2052948,2054936,161,1e-10,.,.
chr1,1837597,1840949,chr1,2148693,2150756,162,1.08e-07,.,.
chr1,1838695,1842642,chr1,1934420,1936578,164,1e-10,.,.
chr1,1839315,1842147,chr1,1875856,1879700,165,1.53e-10,.,.
chr1,1876822,1879519,chr1,1970104,1972726,167,1e-10,.,.
chr1,1880635,1884049,chr1,1887260,1889775,168,1e-10,.,.
chr1,1884296,1886255,chr1,1891435,1893531,169,1e-10,.,.
chr1,1898808,1902428,chr1,1928275,1932285,170,1e-10,.,.
chr1,1911807,1914148,chr1,1923126,1926276,172,1e-10,.,.
chr1,1915479,1917674,chr1,1920844,1923652,173,1e-10,.,.
chr1,1932043,1934614,chr1,1938743,1940342,174,1e-10,.,.
chr1,1957275,1961380,chr1,1967174,1969561,177,1e-10,.,.
chr1,1970480,1973511,chr1,1993511,1996810,179,1e-10,.,.
chr1,1972308,1974287,chr1,1979248,1982273,180,1e-10,.,.
chr1,1974794,1983933,chr1,1989277,1994477,181,1e-10,.,.
chr1,1981553,1984091,chr1,1996858,1999275,183,1e-10,.,.
chr1,1990065,1993867,chr1,2010371,2014654,185,1e-10,.,.
chr1,1991692,1995872,chr1,1998210,2000471,186,1e-10,.,.
chr1,2015556,2018791,chr1,2301380,2305249,190,1e-10,.,.
chr1,2032777,2036000,chr1,2050881,2053789,193,1e-10,.,.
chr1,2053020,2057842,chr1,2062743,2070888,196,1e-10,.,.
chr1,2072362,2074119,chr1,2311408,2314213,197,1e-10,.,.
chr1,2083273,2085952,chr1,2296811,2299301,198,1e-10,.,.
chr1,2095161,2097245,chr1,2231236,2234787,199,1e-10,.,.
chr1,2100252,2103689,chr1,2228030,2231673,200,1e-10,.,.
chr1,2103006,2105435,chr1,2300045,2304135,201,1.2e-10,.,.
chr1,2108461,2113468,chr1,2332267,2335542,202,1e-10,.,.
chr1,2109089,2117585,chr1,2308780,2316553,203,1e-10,.,.
chr1,2110432,2113265,chr1,2467677,2469438,204,4.11e-09,.,.
chr1,2110704,2120776,chr1,2301643,2308163,205,1e-10,.,.
chr1,2113786,2116614,chr1,2293823,2297260,206,1e-10,.,.
chr1,2113986,2117281,chr1,2466838,2470506,207,1.22e-10,.,.
chr1,2114064,2117671,chr1,2317075,2322095,208,1e-10,.,.
chr1,2115230,2119484,chr1,2246312,2249948,209,1e-10,.,.
chr1,2118243,2122230,chr1,2296443,2299316,210,9.53e-10,.,.
chr1,2118282,2120607,chr1,2466289,2468972,211,4.78e-09,.,.
chr1,2123799,2127951,chr1,2299421,2306536,212,1e-10,.,.
chr1,2123858,2126215,chr1,2328297,2330705,213,3.73e-10,.,.
chr1,2124423,2127532,chr1,2291815,2295202,214,6.24e-10,.,.
chr1,2124542,2128886,chr1,2332270,2336602,215,1e-10,.,.
chr1,2124852,2128021,chr1,2295661,2298523,216,1.47e-09,.,.
chr1,2124934,2127131,chr1,2318082,2322963,217,1e-10,.,.
chr1,2146605,2150092,chr1,2248651,2252796,218,1e-10,.,.
chr1,2146708,2149247,chr1,2304056,2306130,219,3.2e-10,.,.
chr1,2147064,2151769,chr1,2318153,2325005,220,1e-10,.,.
chr1,2147342,2155280,chr1,2207874,2214360,221,1e-10,.,.
chr1,2147344,2149985,chr1,2301746,2304044,222,3.53e-09,.,.
chr1,2147424,2154497,chr1,2308736,2315670,223,1e-10,.,.
chr1,2148417,2150825,chr1,2425940,2428758,224,6.07e-09,.,.
chr1,2148752,2151362,chr1,2228600,2231415,225,1.96e-09,.,.
chr1,2148855,2152231,chr1,2231787,2238599,226,1e-10,.,.
chr1,2148938,2155108,chr1,2325202,2336956,227,1e-10,.,.
chr1,2150857,2155219,chr1,2251046,2253397,228,8.63e-10,.,.
chr1,2152777,2158761,chr1,2229107,2232705,229,1e-10,.,.
chr1,2155004,2158227,chr1,2240965,2245003,230,5.82e-10,.,.
chr1,2190460,2193470,chr1,2206687,2208426,232,1e-10,.,.
chr1,2195235,2198201,chr1,2312593,2315147,233,1e-10,.,.
chr1,2199469,2202233,chr1,2210011,2212496,234,1e-10,.,.
chr1,2232909,2236296,chr1,2301234,2304207,238,1e-10,.,.
chr1,2262498,2266111,chr1,2317618,2320188,239,1e-10,.,.
chr1,2271147,2274826,chr1,2302371,2305042,241,1e-10,.,.
chr1,2275345,2278453,chr1,2280361,2283760,242,1e-10,.,.
chr1,2279468,2284739,chr1,2292280,2296801,243,1e-10,.,.
chr1,2312469,2314523,chr1,2443805,2446699,245,8.49e-10,.,.
chr1,2313754,2316300,chr1,2467638,2470295,246,1e-10,.,.
chr1,2326065,2330295,chr1,2441748,2444701,247,5.9e-10,.,.
chr1,2326352,2329600,chr1,2484735,2487659,248,1e-10,.,.
chr1,2326970,2330099,chr1,2425302,2428493,249,5.26e-10,.,.
chr1,2327894,2330894,chr1,2393395,2395327,250,1e-10,.,.
chr1,2328704,2332579,chr1,2373210,2377491,251,1e-10,.,.
chr1,2329711,2339337,chr1,2460784,2471401,252,1e-10,.,.
chr1,2330523,2333626,chr1,2435143,2438131,253,1e-10,.,.
chr1,2330719,2336665,chr1,2445411,2450152,254,1e-10,.,.
chr1,2331013,2337244,chr1,2562937,2567303,255,1e-10,.,.
chr1,2332717,2335556,chr1,2552535,2555475,256,1e-10,.,.
chr1,2332769,2335641,chr1,2404018,2406559,257,1e-10,.,.
chr1,2333034,2335794,chr1,2506212,2507980,258,1e-10,.,.
chr1,2333611,2336199,chr1,2706202,2711186,259,1e-10,.,.
chr1,2333907,2337335,chr1,2478066,2479814,260,1e-10,.,.
chr1,2334114,2337506,chr1,2372151,2375220,261,1e-10,.,.
chr1,2337569,2339142,chr1,2354900,2358190,262,1e-10,.,.
chr1,2338215,2341392,chr1,2511560,2513397,263,1e-10,.,.
chr1,2353784,2356943,chr1,2358790,2363389,265,1e-10,.,.
chr1,2446478,2449390,chr1,2505489,2509003,268,1e-10,.,.
chr1,2456841,2470017,chr1,2503056,2509766,269,1e-10,.,.
chr1,2467084,2469511,chr1,2561510,2566582,271,1e-10,.,.
chr1,2476629,2487337,chr1,2503843,2509821,273,1e-10,.,.
chr1,2482254,2484523,chr1,2494447,2497992,274,1e-10,.,.
chr1,2493120,2498266,chr1,2502098,2508831,275,1e-10,.,.
chr1,2516904,2520289,chr1,2530861,2533491,278,1e-10,.,.
chr1,2529654,2533246,chr1,2546804,2551128,280,1e-10,.,.
chr1,2531627,2534075,chr1,2563141,2565218,281,1e-10,.,.
chr1,2539626,2541462,chr1,2561221,2562778,282,1e-10,.,.
chr1,2542381,2546329,chr1,2553959,2557147,283,1e-10,.,.
chr1,2933842,2937112,chr1,2938811,2942061,286,1e-10,.,.
chr1,3053802,3056745,chr1,3067745,3071121,289,1e-10,.,.
chr1,3057863,3061053,chr1,3064077,3066785,290,1e-10,.,.
chr1,3097672,3099582,chr1,3103926,3106206,293,1e-10,.,.
chr1,3100575,3103237,chr1,3109076,3110791,294,1e-10,.,.
chr1,3105808,3107745,chr1,3114021,3116915,295,1e-10,.,.
chr1,3118514,3122330,chr1,3124253,3128075,296,1e-10,.,.
chr1,3132302,3135426,chr1,3137952,3142137,297,1e-10,.,.
chr1,3153136,3156907,chr1,3163735,3165882,298,1e-10,.,.
chr1,3189233,3192129,chr1,3197574,3201058,300,1e-10,.,.
chr1,3205533,3209238,chr1,3211843,3214517,301,1e-10,.,.
chr1,3257536,3260639,chr1,3262350,3265580,304,1e-10,.,.
chr1,3273803,3276676,chr1,3278183,3281880,306,1e-10,.,.
chr1,3278404,3281198,chr1,3299680,3302021,307,1e-10,.,.
chr1,3302879,3305627,chr1,3310376,3312301,308,1e-10,.,.
chr1,3340968,3344335,chr1,3345700,3351047,310,1e-10,.,.
chr1,3347750,3351936,chr1,3354822,3359798,311,1e-10,.,.
chr1,3358069,3361856,chr1,3376114,3378408,312,1e-10,.,.
chr1,3358264,3361158,chr1,3389000,3392036,314,1e-10,.,.
chr1,3361325,3364100,chr1,3529362,3531312,315,1e-10,.,.
chr1,3362755,3364986,chr1,3389522,3392382,316,1e-10,.,.
chr1,3365160,3366866,chr1,3385572,3388821,317,1e-10,.,.
chr1,3381098,3383487,chr1,3387917,3390374,319,1e-10,.,.
chr1,3398562,3401779,chr1,3410187,3413315,321,1e-10,.,.
chr1,3404333,3407558,chr1,3420187,3425420,322,1e-10,.,.
chr1,3419922,3422417,chr1,3434543,3437213,324,1e-10,.,.
chr1,3436182,3439706,chr1,3491761,3494654,327,1e-10,.,.
chr1,3438563,3442721,chr1,3521328,3526949,328,1e-10,.,.
chr1,3444646,3448522,chr1,3506229,3510268,330,1e-10,.,.
chr1,3458653,3462066,chr1,3470466,3474224,331,1e-10,.,.
chr1,3485958,3489817,chr1,3511156,3513262,334,1e-10,.,.
chr1,3495035,3499491,chr1,3505935,3510463,336,1e-10,.,.
chr1,3497004,3499168,chr1,3524281,3528005,337,1e-10,.,.
chr1,3523812,3527220,chr1,3529326,3532853,340,1e-10,.,.
chr1,3554296,3556867,chr1,3676426,3680969,341,1e-10,.,.
chr1,3556608,3559098,chr1,3586202,3589786,343,1e-10,.,.
chr1,3576012,3580106,chr1,3586462,3591395,345,1e-10,.,.
chr1,3577337,3580991,chr1,3600736,3603293,346,1e-10,.,.
chr1,3623872,3625544,chr1,3804698,3808075,350,4.04e-10,.,.
chr1,3631696,3635416,chr1,3678317,3681415,351,1e-10,.,.
chr1,3643243,3646831,chr1,3703424,3706253,352,1e-10,.,.
chr1,3646529,3649968,chr1,3687916,3691606,353,1e-10,.,.
chr1,3649613,3652686,chr1,3774340,3776829,354,1e-10,.,.
chr1,3650930,3656093,chr1,3675151,3680252,355,1e-10,.,.
chr1,3652874,3655088,chr1,3683034,3686033,356,1.35e-10,.,.
chr1,3657651,3663270,chr1,3676091,3680883,357,1e-10,.,.
chr1,3676773,3685343,chr1,3804537,3810673,360,1e-10,.,.
chr1,3676996,3680873,chr1,3774442,3776704,361,1.33e-10,.,.
chr1,3680543,3682525,chr1,3762794,3765385,362,1.17e-10,.,.
chr1,3686526,3690711,chr1,3762288,3764316,363,2.68e-10,.,.
chr1,3691101,3696793,chr1,3806130,3808787,364,1e-10,.,.
chr1,3701083,3705400,chr1,3805320,3809152,366,1e-10,.,.
chr1,3708630,3712390,chr1,3714821,3719539,367,1e-10,.,.
chr1,3709295,3716089,chr1,3805376,3809094,368,1e-10,.,.
chr1,3718893,3720775,chr1,3760786,3764206,370,1e-10,.,.
chr1,3734281,3737271,chr1,3806866,3810447,371,1.5e-10,.,.
chr1,3746108,3750699,chr1,3753159,3758000,372,1e-10,.,.
chr1,3757228,3760637,chr1,3775057,3777737,374,1e-10,.,.
chr1,3761314,3765810,chr1,3804916,3810136,376,1e-10,.,.
chr1,3762152,3765801,chr1,3795130,3799622,377,1e-10,.,.
chr1,3768529,3773200,chr1,3805055,3808660,378,1e-10,.,.
chr1,3774827,3777494,chr1,3791315,3793519,380,1e-10,.,.
chr1,3774904,3778454,chr1,3803699,3808680,381,1e-10,.,.
chr1,3778938,3782633,chr1,3805110,3807910,382,1e-10,.,.
chr1,3804361,3809408,chr1,3827461,3830676,384,1e-10,.,.
chr1,3805403,3809310,chr1,3951908,3957362,386,1e-10,.,.
chr1,3806160,3808421,chr1,3935892,3937741,388,1e-10,.,.
chr1,3819692,3822582,chr1,3922598,3925073,390,1e-10,.,.
chr1,3910668,3914190,chr1,3916673,3920292,392,1e-10,.,.
chr1,3917028,3919833,chr1,3934752,3937743,393,1e-10,.,.
chr1,3927418,3931338,chr1,3935433,3938984,394,1e-10,.,.
chr1,4049080,4051925,chr1,4064995,4066704,398,1e-10,.,.
chr1,4080058,4083947,chr1,4086069,4089527,399,1e-10,.,.
chr1,4164213,4167665,chr1,4170423,4173095,400,1e-10,.,.
chr1,4555115,4558051,chr1,4586904,4590036,402,1e-10,.,.
chr1,4597323,4599124,chr1,4602453,4605518,403,1e-10,.,.
chr1,4628517,4632429,chr1,4633466,4637036,404,1e-10,.,.
chr1,4685141,4687830,chr1,4693605,4696704,405,1e-10,.,.
chr1,4698116,4702491,chr1,4704120,4706757,406,1e-10,.,.
chr1,4709189,4712322,chr1,4716974,4720173,407,1e-10,.,.
chr1,4876267,4880470,chr1,4882671,4886484,408,1e-10,.,.
chr1,5579477,5583525,chr1,5592675,5596734,410,1e-10,.,.
chr1,5691311,5693573,chr1,5699399,5702158,412,1e-10,.,.
chr1,5732596,5735527,chr1,5739773,5741739,413,1e-10,.,.
chr1,5782439,5787070,chr1,5788244,5795044,414,1e-10,.,.
chr1,5802124,5806208,chr1,5809898,5812197,415,1e-10,.,.
chr1,5811256,5814291,chr1,5816052,5820607,416,1e-10,.,.
chr1,5838490,5840456,chr1,5868146,5871308,418,1e-10,.,.
chr1,5852274,5856196,chr1,5858609,5862627,421,1e-10,.,.
chr1,5854964,5858017,chr1,5897952,5900535,422,1e-10,.,.
chr1,5860779,5865009,chr1,5868197,5871747,423,1e-10,.,.
chr1,5880090,5882827,chr1,5891712,5895198,425,1e-10,.,.
chr1,5881849,5883737,chr1,5889287,5891533,426,1e-10,.,.
chr1,5896983,5900300,chr1,5952015,5954721,428,1e-10,.,.
chr1,5898857,5901770,chr1,5979242,5981212,429,1e-10,.,.
chr1,5915054,5917568,chr1,5922584,5925281,430,1e-10,.,.
chr1,5934563,5937462,chr1,5967359,5970554,433,1e-10,.,.
chr1,5941804,5944591,chr1,5965598,5968188,434,1e-10,.,.
chr1,5946942,5950188,chr1,5952358,5955880,435,1e-10,.,.
chr1,5973117,5976884,chr1,6188831,6193243,437,1e-10,.,.
chr1,5974512,5976977,chr1,6217187,6220315,438,7.58e-09,.,.
chr1,6010861,6014173,chr1,6015449,6019217,439,1e-10,.,.
chr1,6015767,6018873,chr1,6020630,6024021,440,1e-10,.,.
chr1,6016397,6020027,chr1,6227719,6229900,441,1e-10,.,.
chr1,6016744,6021159,chr1,6164394,6167644,443,1e-10,.,.
chr1,6026349,6029658,chr1,6043812,6047926,444,1e-10,.,.
chr1,6026614,6030030,chr1,6039611,6043194,445,1e-10,.,.
chr1,6030093,6032929,chr1,6081824,6085855,446,1e-10,.,.
chr1,6034610,6038357,chr1,6051346,6054664,447,1e-10,.,.
chr1,6039993,6042465,chr1,6047236,6050861,450,1e-10,.,.
chr1,6051949,6055021,chr1,6217053,6220757,452,2.46e-10,.,.
chr1,6054788,6058478,chr1,6164198,6167795,453,2.3e-10,.,.
chr1,6062376,6064485,chr1,6165211,6168393,454,1e-10,.,.
chr1,6087325,6090868,chr1,6165824,6168544,455,1.19e-10,.,.
chr1,6088398,6090574,chr1,6107192,6110431,456,1e-10,.,.
chr1,6100826,6106235,chr1,6107861,6110672,457,1e-10,.,.
chr1,6109080,6114102,chr1,6124014,6129655,459,1e-10,.,.
chr1,6109132,6112408,chr1,6163858,6169441,460,1e-10,.,.
chr1,6109366,6113513,chr1,6180552,6182280,461,1e-10,.,.
chr1,6114385,6119580,chr1,6120981,6129305,462,1e-10,.,.
chr1,6114633,6117406,chr1,6179351,6182593,463,1e-10,.,.
chr1,6186514,6192254,chr1,6374905,6378170,466,1e-10,.,.
chr1,6217037,6222233,chr1,6374548,6377501,468,1e-10,.,.
chr1,6220436,6224299,chr1,6326717,6329774,469,1e-10,.,.
chr1,6227273,6232548,chr1,6323057,6330794,470,1e-10,.,.
chr1,6227302,6230142,chr1,6375683,6378007,471,1e-10,.,.
chr1,6231458,6235382,chr1,6374906,6376426,472,3.05e-10,.,.
chr1,6235794,6238260,chr1,6375928,6378504,473,1e-10,.,.
chr1,6240629,6242718,chr1,6375241,6377910,474,1.78e-10,.,.
chr1,6241123,6244858,chr1,6271325,6275123,475,1e-10,.,.
chr1,6243099,6247085,chr1,6374169,6379240,476,1e-10,.,.
chr1,6249858,6251838,chr1,6278960,6282613,477,1e-10,.,.
chr1,6249909,6253458,chr1,6319944,6323068,478,1e-10,.,.
chr1,6279601,6285573,chr1,6291709,6296399,482,1e-10,.,.
chr1,6303414,6307162,chr1,6309883,6312337,484,1e-10,.,.
chr1,6312234,6315092,chr1,6321330,6323877,485,1e-10,.,.
chr1,6326850,6329623,chr1,6387715,6389991,486,1e-10,.,.
chr1,6328243,6333351,chr1,6374674,6378523,487,1e-10,.,.
chr1,6330920,6333273,chr1,6341753,6343896,488,1e-10,.,.
chr1,6333590,6338292,chr1,6374982,6378534,489,1e-10,.,.
chr1,6358353,6363722,chr1,6374707,6378624,490,1e-10,.,.
chr1,6373443,6378733,chr1,6535154,6542556,492,1e-10,.,.
chr1,6373852,6378425,chr1,6400960,6410533,493,1e-10,.,.
chr1,6373893,6376764,chr1,6442696,6444429,494,1e-10,.,.
chr1,6373921,6377144,chr1,6396982,6400785,495,1e-10,.,.
chr1,6374073,6378580,chr1,6582937,6587205,496,1e-10,.,.
chr1,6375284,6377622,chr1,6412123,6415067,497,1.41e-10,.,.
chr1,6390541,6393747,chr1,6396593,6400093,498,1e-10,.,.
chr1,6395635,6398604,chr1,6453381,6456645,500,1e-10,.,.
chr1,6403669,6408520,chr1,6418288,6423750,501,1e-10,.,.
chr1,6406437,6409385,chr1,6582544,6585427,502,6.93e-09,.,.
chr1,6407037,6410375,chr1,6424032,6427236,503,1e-10,.,.
chr1,6408855,6412116,chr1,6419285,6422340,504,1e-10,.,.
chr1,6420807,6423958,chr1,6453349,6456816,505,1e-10,.,.
chr1,6489257,6492548,chr1,6583516,6585419,508,1.1e-09,.,.
chr1,6508796,6513711,chr1,6583694,6586443,509,1e-10,.,.
chr1,6537313,6539208,chr1,6551850,6553674,511,1e-10,.,.
chr1,6561515,6564710,chr1,6766725,6769519,513,3.21e-08,.,.
chr1,6583002,6586984,chr1,6679575,6681848,514,1e-10,.,.
chr1,6583417,6586303,chr1,6672460,6675789,515,1e-10,.,.
chr1,6583744,6587325,chr1,6684178,6687910,516,1e-10,.,.
