V1,V2,V3,V4
chr11,1670851,1670853,13
chr11,1670853,1670859,12
chr11,1670859,1670860,9
chr11,1670860,1670865,11
chr11,1670865,1670868,10
chr11,1670868,1670871,11
chr11,1670871,1670872,12
chr11,1670872,1670884,10
chr11,1670884,1670886,11
chr11,1670886,1670899,10
chr11,1670899,1670901,9
chr11,1670901,1670902,10
chr11,1670902,1670909,9
chr11,1670909,1670917,7
chr11,1670917,1670918,6
chr11,1670918,1670920,5
chr11,1670920,1670921,9
chr11,1670921,1670925,7
chr11,1670925,1670933,15
chr11,1670933,1670944,14
chr11,1670944,1670950,26
chr11,1670950,1670959,25
chr11,1670959,1670969,17
chr11,1670969,1670978,12
chr11,1670998,1671000,1
chr11,1671000,1671014,3
chr11,1671014,1671037,5
chr11,1671037,1671047,6
chr11,1671047,1671049,5
chr11,1671049,1671055,3
chr11,1671055,1671056,8
chr11,1671056,1671058,11
chr11,1671058,1671063,13
chr11,1671063,1671067,11
chr11,1671067,1671068,12
chr11,1671068,1671070,13
chr11,1671070,1671072,16
chr11,1671072,1671075,19
chr11,1671075,1671080,22
chr11,1671080,1671086,25
chr11,1671086,1671088,24
chr11,1671088,1671092,26
chr11,1671092,1671094,24
chr11,1671094,1671102,28
chr11,1671102,1671104,27
chr11,1671104,1671105,22
chr11,1671105,1671107,21
chr11,1671107,1671109,24
chr11,1671109,1671110,21
chr11,1671110,1671111,26
chr11,1671111,1671116,27
chr11,1671116,1671117,26
chr11,1671117,1671119,27
chr11,1671119,1671123,24
chr11,1671123,1671128,29
chr11,1671128,1671129,25
chr11,1671129,1671131,22
chr11,1671131,1671134,23
chr11,1671134,1671140,24
chr11,1671140,1671144,21
chr11,1671144,1671154,18
chr11,1671154,1671156,16
chr11,1671156,1671157,12
chr11,1671157,1671159,9
chr11,1671159,1671160,7
chr11,1671160,1671165,6
chr11,1671165,1671167,7
chr11,1671167,1671168,9
chr11,1671168,1671169,11
chr11,1671169,1671170,16
chr11,1671170,1671171,18
chr11,1671171,1671174,21
chr11,1671174,1671176,25
chr11,1671176,1671179,26
chr11,1671179,1671180,28
chr11,1671180,1671183,27
chr11,1671183,1671184,29
chr11,1671184,1671186,34
chr11,1671186,1671188,36
chr11,1671188,1671189,38
chr11,1671189,1671190,39
chr11,1671190,1671191,41
chr11,1671191,1671192,42
chr11,1671192,1671195,43
chr11,1671195,1671196,45
chr11,1671196,1671197,50
chr11,1671197,1671198,53
chr11,1671198,1671199,55
chr11,1671199,1671200,56
chr11,1671200,1671201,62
chr11,1671201,1671203,61
chr11,1671203,1671204,71
chr11,1671204,1671205,92
chr11,1671205,1671206,99
chr11,1671206,1671207,101
chr11,1671207,1671208,105
chr11,1671208,1671209,110
chr11,1671209,1671210,111
chr11,1671210,1671211,115
chr11,1671211,1671213,121
chr11,1671213,1671214,136
chr11,1671214,1671215,135
chr11,1671215,1671216,138
chr11,1671216,1671217,137
chr11,1671217,1671218,142
chr11,1671218,1671219,135
chr11,1671219,1671220,136
chr11,1671220,1671221,133
chr11,1671221,1671223,131
chr11,1671223,1671224,127
chr11,1671224,1671227,132
chr11,1671227,1671228,133
chr11,1671228,1671232,132
chr11,1671232,1671233,130
chr11,1671233,1671234,128
chr11,1671234,1671235,133
chr11,1671235,1671237,131
chr11,1671237,1671238,123
chr11,1671238,1671239,113
chr11,1671239,1671240,112
chr11,1671240,1671241,111
chr11,1671241,1671242,110
chr11,1671242,1671244,106
chr11,1671244,1671245,104
chr11,1671245,1671246,94
chr11,1671246,1671247,93
chr11,1671247,1671248,85
chr11,1671248,1671249,84
chr11,1671249,1671251,83
chr11,1671251,1671252,78
chr11,1671252,1671253,73
chr11,1671253,1671254,61
chr11,1671254,1671255,56
chr11,1671255,1671256,54
chr11,1671256,1671257,50
chr11,1671257,1671258,49
chr11,1671258,1671259,43
chr11,1671259,1671260,41
chr11,1671260,1671261,50
chr11,1671261,1671262,49
chr11,1671262,1671264,41
chr11,1671264,1671265,37
chr11,1671265,1671266,35
chr11,1671266,1671268,32
chr11,1671268,1671271,21
chr11,1671271,1671273,30
chr11,1671273,1671274,29
chr11,1671274,1671279,28
chr11,1671279,1671283,27
chr11,1671283,1671288,25
chr11,1671288,1671292,26
chr11,1671292,1671293,32
chr11,1671293,1671294,33
chr11,1671294,1671295,27
chr11,1671295,1671296,31
chr11,1671296,1671298,29
chr11,1671298,1671302,34
chr11,1671302,1671305,41
chr11,1671305,1671307,38
chr11,1671307,1671308,37
chr11,1671308,1671309,35
chr11,1671309,1671313,36
chr11,1671313,1671314,38
chr11,1671314,1671320,41
chr11,1671320,1671327,42
chr11,1671327,1671332,41
chr11,1671332,1671333,36
chr11,1671333,1671336,37
chr11,1671336,1671337,30
chr11,1671337,1671338,27
chr11,1671338,1671341,31
chr11,1671341,1671344,28
chr11,1671344,1671348,24
chr11,1671348,1671354,25
chr11,1671354,1671355,19
chr11,1671355,1671358,20
chr11,1671358,1671360,16
chr11,1671360,1671361,18
chr11,1671361,1671362,20
chr11,1671362,1671363,18
chr11,1671363,1671366,16
chr11,1671366,1671368,17
chr11,1671368,1671369,20
chr11,1671369,1671372,23
chr11,1671372,1671375,19
chr11,1671375,1671378,16
chr11,1671378,1671382,17
chr11,1671382,1671387,16
chr11,1671387,1671391,17
chr11,1671391,1671397,22
chr11,1671397,1671404,20
chr11,1671404,1671409,19
chr11,1671409,1671410,17
chr11,1671410,1671415,15
chr11,1671415,1671417,16
chr11,1671417,1671418,13
chr11,1671418,1671421,9
chr11,1671421,1671422,8
chr11,1671422,1671427,9
chr11,1671427,1671433,8
chr11,1671433,1671436,11
chr11,1671436,1671440,12
chr11,1671440,1671457,7
chr11,1671457,1671464,9
chr11,1671464,1671466,7
chr11,1671466,1671471,8
chr11,1671471,1671475,7
chr11,1671475,1671482,8
chr11,1671482,1671485,5
chr11,1671485,1671491,4
chr11,1671491,1671519,2
chr11,1671519,1671523,5
chr11,1671523,1671549,4
chr11,1671549,1671550,3
chr11,1671550,1671568,4
chr11,1671568,1671573,1
chr11,1671573,1671599,2
chr11,1671599,1671622,1
chr11,1671631,1671634,1
chr11,1671634,1671643,5
chr11,1671643,1671644,8
chr11,1671644,1671665,9
chr11,1671665,1671668,8
chr11,1671668,1671692,4
chr11,1671692,1671693,1
chr11,1671718,1671724,3
chr11,1671724,1671755,6
chr11,1671755,1671767,14
chr11,1671767,1671773,11
chr11,1671773,1671782,12
chr11,1671782,1671789,14
chr11,1671789,1671799,6
chr11,1671799,1671807,11
chr11,1671807,1671808,7
chr11,1671808,1671816,8
chr11,1671816,1671831,6
chr11,1671831,1671834,7
chr11,1671834,1671836,9
chr11,1671836,1671841,10
chr11,1671841,1671848,11
chr11,1671848,1671852,6
chr11,1671852,1671857,7
chr11,1671857,1671860,6
chr11,1671860,1671861,14
chr11,1671861,1671864,16
chr11,1671864,1671875,19
chr11,1671875,1671877,18
chr11,1671877,1671880,20
chr11,1671880,1671882,19
chr11,1671882,1671883,20
chr11,1671883,1671884,18
chr11,1671884,1671885,20
chr11,1671885,1671892,23
chr11,1671892,1671893,25
chr11,1671893,1671894,30
chr11,1671894,1671895,22
chr11,1671895,1671897,20
chr11,1671897,1671898,22
chr11,1671898,1671899,19
chr11,1671899,1671901,23
chr11,1671901,1671903,22
chr11,1671903,1671906,23
chr11,1671906,1671908,25
chr11,1671908,1671909,28
chr11,1671909,1671910,31
chr11,1671910,1671911,34
chr11,1671911,1671913,36
chr11,1671913,1671914,44
chr11,1671914,1671915,46
chr11,1671915,1671917,47
chr11,1671917,1671918,48
chr11,1671918,1671919,49
chr11,1671919,1671921,45
chr11,1671921,1671923,46
chr11,1671923,1671924,47
chr11,1671924,1671926,48
chr11,1671926,1671927,53
chr11,1671927,1671929,48
chr11,1671929,1671932,53
chr11,1671932,1671933,54
chr11,1671933,1671935,53
chr11,1671935,1671936,54
chr11,1671936,1671938,56
chr11,1671938,1671939,59
chr11,1671939,1671940,60
chr11,1671940,1671941,68
chr11,1671941,1671942,72
chr11,1671942,1671943,74
chr11,1671943,1671944,76
chr11,1671944,1671945,74
chr11,1671945,1671946,82
chr11,1671946,1671947,87
chr11,1671947,1671948,85
chr11,1671948,1671950,83
chr11,1671950,1671951,86
chr11,1671951,1671952,87
chr11,1671952,1671953,86
chr11,1671953,1671954,94
chr11,1671954,1671955,98
chr11,1671955,1671956,101
chr11,1671956,1671958,104
chr11,1671958,1671959,106
chr11,1671959,1671960,110
chr11,1671960,1671962,113
chr11,1671962,1671963,118
chr11,1671963,1671965,117
chr11,1671965,1671966,118
chr11,1671966,1671967,116
chr11,1671967,1671968,115
chr11,1671968,1671969,117
chr11,1671969,1671970,118
chr11,1671970,1671971,123
chr11,1671971,1671973,124
chr11,1671973,1671974,128
chr11,1671974,1671978,124
chr11,1671978,1671979,123
chr11,1671979,1671980,135
chr11,1671980,1671982,138
chr11,1671982,1671983,137
chr11,1671983,1671984,139
chr11,1671984,1671985,140
chr11,1671985,1671986,148
chr11,1671986,1671987,149
chr11,1671987,1671988,145
chr11,1671988,1671989,146
chr11,1671989,1671990,140
chr11,1671990,1671991,139
chr11,1671991,1671992,138
chr11,1671992,1671993,133
chr11,1671993,1671994,132
chr11,1671994,1671995,116
chr11,1671995,1671996,109
chr11,1671996,1671997,98
chr11,1671997,1671999,93
chr11,1671999,1672000,91
chr11,1672000,1672001,90
chr11,1672001,1672002,95
chr11,1672002,1672003,88
chr11,1672003,1672004,84
chr11,1672004,1672005,77
chr11,1672005,1672006,73
chr11,1672006,1672007,78
chr11,1672007,1672008,75
chr11,1672008,1672013,71
chr11,1672013,1672014,63
chr11,1672014,1672016,60
chr11,1672016,1672017,61
chr11,1672017,1672018,58
chr11,1672018,1672020,54
chr11,1672020,1672021,60
chr11,1672021,1672022,59
chr11,1672022,1672023,57
chr11,1672023,1672024,56
chr11,1672024,1672027,53
chr11,1672027,1672028,67
chr11,1672028,1672031,61
chr11,1672031,1672032,60
chr11,1672032,1672034,59
chr11,1672034,1672035,51
chr11,1672035,1672037,46
chr11,1672037,1672038,48
chr11,1672038,1672039,45
chr11,1672039,1672040,41
chr11,1672040,1672041,37
chr11,1672041,1672042,36
chr11,1672042,1672043,37
chr11,1672043,1672046,36
chr11,1672046,1672047,37
chr11,1672047,1672048,38
chr11,1672048,1672054,36
chr11,1672054,1672055,29
chr11,1672055,1672056,24
chr11,1672056,1672059,21
chr11,1672059,1672061,25
chr11,1672061,1672065,10
chr11,1672065,1672066,9
chr11,1672066,1672080,10
chr11,1672080,1672081,9
chr11,1672081,1672091,8
chr11,1672091,1672093,7
chr11,1672093,1672098,3
chr11,1672098,1672100,5
chr11,1672100,1672101,4
chr11,1672101,1672102,9
chr11,1672102,1672104,10
chr11,1672104,1672105,11
chr11,1672105,1672107,12
chr11,1672107,1672116,16
chr11,1672116,1672122,19
chr11,1672122,1672135,22
chr11,1672135,1672136,15
chr11,1672136,1672139,16
chr11,1672139,1672141,15
chr11,1672141,1672147,17
chr11,1672147,1672148,15
chr11,1672148,1672150,18
chr11,1672150,1672153,15
chr11,1672153,1672156,14
chr11,1672156,1672161,7
chr11,1672161,1672167,11
chr11,1672167,1672175,13
chr11,1672175,1672181,11
chr11,1672181,1672182,13
chr11,1672182,1672185,10
chr11,1672185,1672204,8
chr11,1672204,1672210,12
chr11,1672210,1672216,8
chr11,1672216,1672218,6
chr11,1672218,1672230,10
chr11,1672230,1672231,8
chr11,1672231,1672246,10
chr11,1672246,1672253,12
chr11,1672253,1672267,8
chr11,1672267,1672280,4
chr11,1672280,1672295,2
chr11,1672352,1672401,1
chr11,1672462,1672511,1
chr11,1672568,1672617,1
chr11,1672627,1672676,1
chr11,1672707,1672756,4
chr11,1673242,1673291,1
chr11,1673309,1673343,1
chr11,1674210,1674244,5
chr11,1674350,1674399,1
chr11,1674423,1674472,4
chr11,1674769,1674818,1
chr11,1675517,1675539,1
chr11,1675539,1675566,5
chr11,1675566,1675588,4
chr11,1675648,1675697,1
chr11,1675749,1675787,2
chr11,1675787,1675798,3
chr11,1675798,1675819,1
chr11,1675819,1675836,4
chr11,1675836,1675853,3
chr11,1675864,1675898,3
chr11,1676127,1676170,1
chr11,1676170,1676176,3
chr11,1676176,1676219,2
chr11,1677333,1677357,2
chr11,1677357,1677382,3
chr11,1677382,1677391,1
chr11,1677818,1677852,7
chr11,1677994,1678043,4
chr11,1678087,1678136,1
chr11,1678174,1678223,4
chr11,1678314,1678363,2
chr11,1678383,1678432,1
chr11,1678639,1678688,2
chr11,1679082,1679116,2
chr11,1679351,1679400,2
chr11,1679498,1679547,1
chr11,1679591,1679640,1
chr11,1679742,1679746,1
chr11,1679746,1679791,2
chr11,1679791,1679795,1
chr11,1679865,1679914,1
chr11,1680030,1680033,1
chr11,1680033,1680053,3
chr11,1680053,1680078,5
chr11,1680078,1680079,13
chr11,1680079,1680082,12
chr11,1680082,1680102,10
chr11,1680102,1680118,8
chr11,1680118,1680127,10
chr11,1680127,1680148,2
chr11,1680148,1680167,4
chr11,1680167,1680182,2
chr11,1680233,1680267,1
chr11,1680486,1680535,1
chr11,1680636,1680685,1
chr11,1681024,1681058,11
chr11,1681109,1681158,4
chr11,1681232,1681281,1
chr11,1682815,1682864,2
chr11,1683426,1683475,2
chr11,1683873,1683922,4
chr11,1684130,1684179,1
chr11,1684184,1684218,8
chr11,1684258,1684307,1
chr11,1684317,1684351,1
chr11,1684354,1684377,1
chr11,1684377,1684403,4
chr11,1684403,1684426,3
chr11,1684450,1684465,2
chr11,1684465,1684484,3
chr11,1684484,1684514,1
chr11,1684526,1684531,2
chr11,1684531,1684532,5
chr11,1684532,1684538,6
chr11,1684538,1684539,7
chr11,1684539,1684546,10
chr11,1684546,1684548,15
chr11,1684548,1684549,25
chr11,1684549,1684550,33
chr11,1684550,1684559,41
chr11,1684559,1684563,43
chr11,1684563,1684572,44
chr11,1684572,1684573,43
chr11,1684573,1684575,40
chr11,1684575,1684578,38
chr11,1684578,1684580,39
chr11,1684580,1684581,36
chr11,1684581,1684582,35
chr11,1684582,1684583,25
chr11,1684583,1684584,17
chr11,1684584,1684593,9
chr11,1684593,1684595,7
chr11,1684595,1684597,2
chr11,1684597,1684598,4
chr11,1684598,1684599,5
chr11,1684599,1684600,8
chr11,1684600,1684601,11
chr11,1684601,1684602,14
chr11,1684602,1684607,17
chr11,1684607,1684611,20
chr11,1684611,1684612,22
chr11,1684612,1684633,21
chr11,1684633,1684634,19
chr11,1684634,1684641,16
chr11,1684641,1684646,13
chr11,1684646,1684647,14
chr11,1684647,1684648,13
chr11,1684648,1684650,12
chr11,1684650,1684651,9
chr11,1684651,1684660,6
chr11,1684660,1684695,4
chr11,1684881,1684930,2
chr11,1685491,1685540,3
chr11,1685884,1685933,2
chr11,1686083,1686132,3
chr11,1686199,1686248,3
chr11,1686282,1686285,3
chr11,1686285,1686319,6
chr11,1686319,1686331,3
chr11,1687425,1687444,1
chr11,1687444,1687448,2
chr11,1687448,1687459,3
chr11,1687459,1687478,2
chr11,1687478,1687482,1
chr11,1687615,1687649,1
chr11,1687752,1687799,1
chr11,1687799,1687801,2
chr11,1687801,1687833,1
chr11,1688747,1688795,1
chr11,1688795,1688796,3
chr11,1688796,1688814,2
chr11,1688814,1688844,3
chr11,1688844,1688863,1
chr11,1689150,1689184,1
chr11,1689229,1689263,5
chr11,1689385,1689419,3
chr11,1689718,1689767,2
chr11,1689841,1689890,1
chr11,1689940,1689989,1
chr11,1690677,1690707,1
chr11,1690707,1690711,3
chr11,1690711,1690756,2
chr11,1691719,1691768,2
chr11,1691970,1692004,2
chr11,1692295,1692345,1
chr11,1693092,1693127,2
chr11,1693127,1693141,5
chr11,1693141,1693176,3
chr11,1693219,1693253,7
chr11,1695094,1695143,1
chr11,1695198,1695247,1
chr11,1695250,1695299,2
chr11,1695661,1695695,4
chr11,1695809,1695858,3
chr11,1696160,1696209,2
chr11,1696244,1696293,1
chr11,1696746,1696780,2
chr11,1696873,1696877,3
chr11,1696877,1696922,4
chr11,1696922,1696926,1
chr11,1697010,1697059,2
chr11,1697297,1697346,1
chr11,1697476,1697525,2
chr11,1697801,1697850,1
chr11,1697899,1697917,1
chr11,1697917,1697948,5
chr11,1697948,1697951,4
chr11,1697952,1697973,1
chr11,1697973,1698001,4
chr11,1698001,1698022,3
chr11,1698083,1698132,4
chr11,1698563,1698612,4
chr11,1698621,1698670,4
chr11,1699763,1699812,1
chr11,1700420,1700469,1
chr11,1700690,1700724,2
chr11,1701129,1701178,1
chr11,1702564,1702583,1
chr11,1702583,1702613,4
chr11,1702613,1702632,3
chr11,1702730,1702779,1
chr11,1703471,1703520,1
chr11,1704203,1704252,4
chr11,1704303,1704337,2
chr11,1704422,1704471,2
chr11,1705058,1705107,1
chr11,1705108,1705142,10
chr11,1705210,1705259,1
chr11,1705277,1705283,1
chr11,1705283,1705311,2
chr11,1705311,1705332,1
chr11,1705352,1705401,3
chr11,1705405,1705439,13
chr11,1705645,1705679,5
chr11,1707041,1707075,1
chr11,1707205,1707229,5
chr11,1707229,1707254,9
chr11,1707254,1707278,4
chr11,1707427,1707476,1
chr11,1707496,1707534,1
chr11,1707534,1707545,2
chr11,1707545,1707568,1
chr11,1708018,1708053,4
chr11,1708053,1708067,10
chr11,1708067,1708102,6
chr11,1708195,1708229,3
chr11,1708477,1708487,7
chr11,1708487,1708511,8
chr11,1708511,1708536,1
chr11,1708559,1708593,1
chr11,1710352,1710386,2
chr11,1710762,1710811,1
chr11,1711047,1711096,1
chr11,1711270,1711319,1
chr11,1711937,1711971,5
chr11,1712566,1712615,1
chr11,1712624,1712673,5
chr11,1712928,1712977,1
chr11,1713034,1713068,2
chr11,1713091,1713140,1
chr11,1713685,1713719,2
chr11,1713987,1714036,2
chr11,1714070,1714104,1
chr11,1714228,1714262,6
chr11,1714337,1714386,1
chr11,1714793,1714842,2
chr11,1714975,1715009,1
chr11,1715648,1715697,3
chr11,1715750,1715799,1
chr11,1716165,1716214,1
chr11,1716242,1716276,4
chr11,1716479,1716513,7
chr11,1716960,1716991,1
chr11,1716991,1717009,5
chr11,1717009,1717040,4
chr11,1717122,1717171,1
chr11,1717232,1717266,6
chr11,1717357,1717365,4
chr11,1717365,1717399,7
chr11,1717399,1717406,4
chr11,1717458,1717507,1
chr11,1717576,1717579,4
chr11,1717579,1717610,14
chr11,1717610,1717613,10
chr11,1717722,1717756,3
chr11,1717791,1717825,1
chr11,1718255,1718304,3
chr11,1718347,1718377,2
chr11,1718377,1718396,3
chr11,1718396,1718401,1
chr11,1718401,1718405,3
chr11,1718405,1718406,4
chr11,1718406,1718426,7
chr11,1718426,1718439,6
chr11,1718439,1718440,5
chr11,1718440,1718450,2
chr11,1718477,1718526,2
chr11,1718756,1718805,1
chr11,1718922,1718971,1
chr11,1719021,1719119,1
chr11,1719120,1719127,1
chr11,1719127,1719130,6
chr11,1719130,1719131,10
chr11,1719131,1719150,13
chr11,1719150,1719161,15
chr11,1719161,1719165,10
chr11,1719165,1719169,7
chr11,1719169,1719179,6
chr11,1719179,1719197,2
chr11,1719197,1719199,3
chr11,1719199,1719246,1
chr11,1719461,1719491,9
chr11,1719491,1719495,10
chr11,1719495,1719540,1
chr11,1719727,1719740,1
chr11,1719740,1719776,2
chr11,1719776,1719789,1
chr11,1719851,1719900,2
chr11,1719964,1719973,1
chr11,1719973,1719980,2
chr11,1719980,1720013,4
chr11,1720013,1720014,3
chr11,1720014,1720022,1
chr11,1720222,1720271,3
chr11,1720280,1720314,14
chr11,1720342,1720389,2
chr11,1720389,1720391,4
chr11,1720391,1720419,2
chr11,1720419,1720438,6
chr11,1720438,1720444,4
chr11,1720444,1720453,7
chr11,1720453,1720493,3
chr11,1721630,1721642,2
chr11,1721642,1721664,4
chr11,1721664,1721691,2
chr11,1721738,1721787,1
chr11,1721825,1721874,1
chr11,1722146,1722195,2
chr11,1722316,1722350,7
chr11,1722505,1722510,2
chr11,1722510,1722539,4
chr11,1722539,1722559,2
chr11,1723075,1723109,5
chr11,1723487,1723521,1
chr11,1723562,1723596,3
chr11,1723959,1724008,5
chr11,1724096,1724129,2
chr11,1724129,1724130,3
chr11,1724130,1724178,1
chr11,1724473,1724522,3
chr11,1725375,1725409,3
chr11,1725720,1725754,1
chr11,1726088,1726122,1
chr11,1726310,1726359,1
chr11,1728246,1728280,8
chr11,1728336,1728370,11
chr11,1728491,1728540,3
chr11,1728773,1728796,12
chr11,1728796,1728807,13
chr11,1728807,1728845,1
chr11,1729159,1729208,4
chr11,1729309,1729310,1
chr11,1729310,1729343,2
chr11,1729343,1729359,1
chr11,1729387,1729436,4
chr11,1729712,1729761,3
chr11,1729906,1729940,1
chr11,1729941,1729975,2
chr11,1731027,1731061,2
chr11,1731384,1731433,2
chr11,1731483,1731517,3
chr11,1732629,1732678,1
chr11,1732752,1732801,3
chr11,1732832,1732866,3
chr11,1733045,1733079,1
chr11,1733403,1733437,8
chr11,1733874,1733923,2
chr11,1734047,1734081,16
chr11,1734100,1734149,3
chr11,1734751,1734785,3
chr11,1734970,1735004,1
chr11,1735035,1735069,7
chr11,1735352,1735401,2
chr11,1735817,1735866,1
chr11,1736284,1736333,1
chr11,1736950,1736976,3
chr11,1736976,1736999,6
chr11,1736999,1737025,3
chr11,1737370,1737404,11
chr11,1737479,1737513,3
chr11,1737711,1737752,2
chr11,1737752,1737760,4
chr11,1737760,1737786,2
chr11,1737806,1737816,3
chr11,1737816,1737840,4
chr11,1737840,1737850,1
chr11,1738025,1738074,1
chr11,1738361,1738395,1
chr11,1739405,1739454,1
chr11,1739760,1739809,1
chr11,1739886,1739935,1
chr11,1740168,1740192,1
chr11,1740192,1740217,2
chr11,1740217,1740239,1
chr11,1740239,1740241,3
chr11,1740241,1740288,2
chr11,1740318,1740343,3
chr11,1740343,1740353,7
chr11,1740353,1740367,9
chr11,1740367,1740377,6
chr11,1740377,1740402,2
chr11,1740762,1740811,1
chr11,1741199,1741216,4
chr11,1741216,1741233,5
chr11,1741233,1741265,1
chr11,1741332,1741381,2
chr11,1741436,1741485,2
chr11,1741812,1741846,1
chr11,1741919,1741922,1
chr11,1741922,1741956,4
chr11,1741956,1741962,1
chr11,1741962,1741968,2
chr11,1741968,1742011,1
chr11,1742070,1742104,4
chr11,1742128,1742133,4
chr11,1742133,1742177,8
chr11,1742177,1742182,4
chr11,1742199,1742248,1
chr11,1742284,1742290,2
chr11,1742290,1742324,10
chr11,1742324,1742329,2
chr11,1742329,1742333,3
chr11,1742333,1742360,1
chr11,1742360,1742378,3
chr11,1742378,1742409,2
chr11,1742514,1742548,5
chr11,1743425,1743474,1
chr11,1743659,1743708,4
chr11,1743786,1743835,1
chr11,1743928,1743942,2
chr11,1743942,1743977,5
chr11,1743977,1743991,3
chr11,1744045,1744094,1
chr11,1744124,1744148,2
chr11,1744148,1744163,3
chr11,1744163,1744171,8
chr11,1744171,1744173,10
chr11,1744173,1744187,8
chr11,1744187,1744197,11
chr11,1744197,1744207,5
chr11,1744207,1744213,9
chr11,1744213,1744215,21
chr11,1744215,1744217,25
chr11,1744217,1744220,30
chr11,1744220,1744226,28
chr11,1744226,1744236,29
chr11,1744236,1744243,26
chr11,1744243,1744245,32
chr11,1744245,1744247,40
chr11,1744247,1744249,28
chr11,1744249,1744250,29
chr11,1744250,1744256,31
chr11,1744256,1744260,27
chr11,1744260,1744263,36
chr11,1744263,1744264,37
chr11,1744264,1744265,33
chr11,1744265,1744266,38
chr11,1744266,1744272,33
chr11,1744272,1744275,35
chr11,1744275,1744277,34
chr11,1744277,1744279,38
chr11,1744279,1744281,46
chr11,1744281,1744287,51
chr11,1744287,1744288,55
chr11,1744288,1744292,59
chr11,1744292,1744293,53
chr11,1744293,1744294,56
chr11,1744294,1744298,39
chr11,1744298,1744299,38
chr11,1744299,1744311,36
chr11,1744311,1744312,32
chr11,1744312,1744313,31
chr11,1744313,1744314,23
chr11,1744314,1744321,18
chr11,1744321,1744327,12
chr11,1744327,1744330,9
chr11,1744330,1744337,4
chr11,1744354,1744357,3
chr11,1744357,1744391,5
chr11,1744391,1744392,3
chr11,1744392,1744403,4
chr11,1744403,1744440,1
chr11,1744440,1744441,4
chr11,1744441,1744489,3
chr11,1744722,1744771,7
chr11,1745202,1745251,1
chr11,1745333,1745367,8
chr11,1745699,1745733,3
chr11,1745846,1745895,1
chr11,1745977,1746026,1
chr11,1746698,1746747,1
