chrom,start,end,value
chr15,72902247,72902277,1
chr15,72902277,72902396,2
chr15,72902396,72902426,1
chr15,72902426,72902477,2
chr15,72902477,72902520,1
chr15,72902520,72902626,2
chr15,72902626,72902720,1
chr15,72902945,72903012,1
chr15,72903012,72903071,2
chr15,72903071,72903121,3
chr15,72903121,72903129,4
chr15,72903129,72903145,5
chr15,72903145,72903212,4
chr15,72903212,72903213,3
chr15,72903213,72903271,4
chr15,72903271,72903321,3
chr15,72903321,72903329,2
chr15,72903329,72903413,1
chr15,72903603,72903803,1
chr15,72904252,72904452,1
chr15,72904486,72904594,1
chr15,72904594,72904686,2
chr15,72904686,72904794,1
chr15,72904842,72904929,1
chr15,72904929,72905042,2
chr15,72905042,72905070,1
chr15,72905070,72905129,2
chr15,72905129,72905270,1
chr15,72905854,72905947,1
chr15,72905947,72905966,2
chr15,72905966,72906032,3
chr15,72906032,72906054,4
chr15,72906054,72906147,3
chr15,72906147,72906166,2
chr15,72906166,72906232,1
chr15,72906362,72906437,1
chr15,72906437,72906562,2
chr15,72906562,72906637,1
chr15,72906776,72906786,1
chr15,72906786,72906976,2
chr15,72906976,72906986,1
chr15,72907285,72907463,1
chr15,72907463,72907485,2
chr15,72907485,72907663,1
chr15,72908601,72908801,1
chr15,72908832,72908871,1
chr15,72908871,72909032,2
chr15,72909032,72909071,1
chr15,72909564,72909764,1
chr15,72909802,72909845,1
chr15,72909845,72910002,2
chr15,72910002,72910045,1
chr15,72910085,72910165,1
chr15,72910165,72910234,2
chr15,72910234,72910278,3
chr15,72910278,72910285,4
chr15,72910285,72910296,3
chr15,72910296,72910365,4
chr15,72910365,72910434,3
chr15,72910434,72910478,2
chr15,72910478,72910496,1
chr15,72910515,72910708,1
chr15,72910708,72910715,2
chr15,72910715,72910908,1
chr15,72910927,72911017,1
chr15,72911017,72911127,2
chr15,72911127,72911217,1
chr15,72911347,72911547,1
chr15,72911853,72912053,1
chr15,72912207,72912314,1
chr15,72912314,72912407,2
chr15,72912407,72912514,1
chr15,72912638,72912838,1
chr15,72912845,72912933,1
chr15,72912933,72912980,2
chr15,72912980,72913045,3
chr15,72913045,72913050,2
chr15,72913050,72913133,3
chr15,72913133,72913143,2
chr15,72913143,72913179,3
chr15,72913179,72913180,4
chr15,72913180,72913250,3
chr15,72913250,72913343,2
chr15,72913343,72913379,1
chr15,72913481,72913498,1
chr15,72913498,72913522,2
chr15,72913522,72913594,3
chr15,72913594,72913618,4
chr15,72913618,72913681,5
chr15,72913681,72913698,4
chr15,72913698,72913707,3
chr15,72913707,72913722,4
chr15,72913722,72913733,3
chr15,72913733,72913794,4
chr15,72913794,72913818,3
chr15,72913818,72913880,2
chr15,72913880,72913907,3
chr15,72913907,72913925,2
chr15,72913925,72913933,3
chr15,72913933,72914080,2
chr15,72914080,72914125,1
chr15,72914165,72914336,1
chr15,72914336,72914365,2
chr15,72914365,72914407,1
chr15,72914407,72914496,2
chr15,72914496,72914514,3
chr15,72914514,72914536,5
chr15,72914536,72914562,4
chr15,72914562,72914575,5
chr15,72914575,72914583,7
chr15,72914583,72914601,8
chr15,72914601,72914607,9
chr15,72914607,72914633,8
chr15,72914633,72914646,9
chr15,72914646,72914649,10
chr15,72914649,72914666,11
chr15,72914666,72914685,12
chr15,72914685,72914696,13
chr15,72914696,72914709,12
chr15,72914709,72914711,13
chr15,72914711,72914714,15
chr15,72914714,72914721,13
chr15,72914721,72914762,14
chr15,72914762,72914767,13
chr15,72914767,72914775,14
chr15,72914775,72914778,12
chr15,72914778,72914783,14
chr15,72914783,72914801,13
chr15,72914801,72914807,12
chr15,72914807,72914811,13
chr15,72914811,72914817,14
chr15,72914817,72914833,15
chr15,72914833,72914846,14
chr15,72914846,72914849,13
chr15,72914849,72914851,12
chr15,72914851,72914866,13
chr15,72914866,72914885,12
chr15,72914885,72914909,11
chr15,72914909,72914911,10
chr15,72914911,72914912,8
chr15,72914912,72914921,9
chr15,72914921,72914967,8
chr15,72914967,72914978,7
chr15,72914978,72914987,5
chr15,72914987,72915007,6
chr15,72915007,72915011,5
chr15,72915011,72915017,4
chr15,72915017,72915040,3
chr15,72915040,72915051,4
chr15,72915051,72915084,3
chr15,72915084,72915112,4
chr15,72915112,72915123,3
chr15,72915123,72915187,4
chr15,72915187,72915205,3
chr15,72915205,72915207,4
chr15,72915207,72915216,5
chr15,72915216,72915234,6
chr15,72915234,72915240,7
chr15,72915240,72915284,6
chr15,72915284,72915287,5
chr15,72915287,72915323,6
chr15,72915323,72915405,5
chr15,72915405,72915407,4
chr15,72915407,72915409,3
chr15,72915409,72915416,4
chr15,72915416,72915434,3
chr15,72915434,72915466,2
chr15,72915466,72915487,3
chr15,72915487,72915609,2
chr15,72915609,72915640,1
chr15,72915640,72915655,2
chr15,72915655,72915666,3
chr15,72915666,72915762,2
chr15,72915762,72915840,3
chr15,72915840,72915855,2
chr15,72915855,72915910,1
chr15,72915910,72915915,2
chr15,72915915,72915962,3
chr15,72915962,72916056,2
chr15,72916056,72916110,3
chr15,72916110,72916112,2
chr15,72916112,72916115,3
chr15,72916115,72916134,2
chr15,72916134,72916201,3
chr15,72916201,72916239,4
chr15,72916239,72916256,5
chr15,72916256,72916312,4
chr15,72916312,72916334,3
chr15,72916334,72916370,2
chr15,72916370,72916401,3
chr15,72916401,72916439,2
chr15,72916439,72916486,1
chr15,72916486,72916570,2
chr15,72916570,72916584,1
chr15,72916584,72916686,2
chr15,72916686,72916784,1
chr15,72916785,72916795,2
chr15,72916795,72916835,3
chr15,72916835,72916853,4
chr15,72916853,72916928,5
chr15,72916928,72916941,7
chr15,72916941,72916985,8
chr15,72916985,72916995,6
chr15,72916995,72917005,5
chr15,72917005,72917012,6
chr15,72917012,72917026,7
chr15,72917026,72917035,8
chr15,72917035,72917049,7
chr15,72917049,72917053,8
chr15,72917053,72917128,7
chr15,72917128,72917131,5
chr15,72917131,72917141,6
chr15,72917141,72917170,5
chr15,72917170,72917205,7
chr15,72917205,72917212,6
chr15,72917212,72917226,5
chr15,72917226,72917248,4
chr15,72917248,72917249,5
chr15,72917249,72917253,4
chr15,72917253,72917331,5
chr15,72917331,72917370,4
chr15,72917370,72917383,2
chr15,72917383,72917448,3
chr15,72917448,72917453,2
chr15,72917453,72917583,1
chr15,72917600,72917624,1
chr15,72917624,72917686,2
chr15,72917686,72917706,3
chr15,72917706,72917794,4
chr15,72917794,72917800,5
chr15,72917800,72917805,4
chr15,72917805,72917821,5
chr15,72917821,72917824,6
chr15,72917824,72917847,5
chr15,72917847,72917886,6
chr15,72917886,72917906,5
chr15,72917906,72917938,4
chr15,72917938,72917966,5
chr15,72917966,72917994,6
chr15,72917994,72918005,5
chr15,72918005,72918021,4
chr15,72918021,72918047,3
chr15,72918047,72918083,2
chr15,72918083,72918138,3
chr15,72918138,72918166,2
chr15,72918166,72918283,1
chr15,72918303,72918491,1
chr15,72918491,72918503,2
chr15,72918503,72918637,1
chr15,72918637,72918661,2
chr15,72918661,72918691,3
chr15,72918691,72918722,2
chr15,72918722,72918768,3
chr15,72918768,72918778,4
chr15,72918778,72918785,5
chr15,72918785,72918806,6
chr15,72918806,72918837,7
chr15,72918837,72918861,6
chr15,72918861,72918922,5
chr15,72918922,72918954,4
chr15,72918954,72918968,5
chr15,72918968,72918978,5
chr15,72918978,72918985,4
chr15,72918985,72919006,3
chr15,72919006,72919092,2
chr15,72919092,72919151,3
chr15,72919151,72919154,4
chr15,72919154,72919168,3
chr15,72919168,72919256,2
chr15,72919256,72919292,3
chr15,72919292,72919351,2
chr15,72919351,72919420,1
chr15,72919420,72919456,2
chr15,72919456,72919490,1
chr15,72919490,72919522,2
chr15,72919522,72919542,3
chr15,72919542,72919582,4
chr15,72919582,72919620,5
chr15,72919620,72919690,4
chr15,72919690,72919722,3
chr15,72919722,72919742,2
chr15,72919742,72919782,1
chr15,72919876,72920076,1
chr15,72920107,72920114,1
chr15,72920114,72920186,2
chr15,72920186,72920237,3
chr15,72920237,72920280,4
chr15,72920280,72920307,5
chr15,72920307,72920314,4
chr15,72920314,72920376,3
chr15,72920376,72920377,4
chr15,72920377,72920386,5
chr15,72920386,72920437,4
chr15,72920437,72920480,3
chr15,72920480,72920576,2
chr15,72920576,72920577,1
chr15,72920616,72920778,1
chr15,72920778,72920801,2
chr15,72920801,72920816,3
chr15,72920816,72920862,3
chr15,72920862,72920874,4
chr15,72920874,72920978,5
chr15,72920978,72921001,4
chr15,72921001,72921016,3
chr15,72921016,72921062,2
chr15,72921062,72921074,1
chr15,72921263,72921277,1
chr15,72921277,72921463,2
chr15,72921463,72921477,1
chr15,72921494,72921622,1
chr15,72921622,72921694,2
chr15,72921694,72921822,1
chr15,72921896,72921909,1
chr15,72921909,72921941,2
chr15,72921941,72921955,3
chr15,72921955,72921957,4
chr15,72921957,72921961,5
chr15,72921961,72921972,6
chr15,72921972,72921984,8
chr15,72921984,72921989,9
chr15,72921989,72922004,11
chr15,72922004,72922019,12
chr15,72922019,72922020,13
chr15,72922020,72922021,14
chr15,72922021,72922025,15
chr15,72922025,72922026,16
chr15,72922026,72922030,17
chr15,72922030,72922040,18
chr15,72922040,72922042,19
chr15,72922042,72922051,20
chr15,72922051,72922057,22
chr15,72922057,72922079,23
chr15,72922079,72922080,24
chr15,72922080,72922089,25
chr15,72922089,72922096,26
chr15,72922096,72922100,25
chr15,72922100,72922109,26
chr15,72922109,72922110,25
chr15,72922110,72922111,26
chr15,72922111,72922114,27
chr15,72922114,72922118,28
chr15,72922118,72922128,29
chr15,72922128,72922132,30
chr15,72922132,72922134,31
chr15,72922134,72922140,32
chr15,72922140,72922141,33
chr15,72922141,72922146,32
chr15,72922146,72922149,33
chr15,72922149,72922155,34
chr15,72922155,72922157,33
chr15,72922157,72922158,32
chr15,72922158,72922159,33
chr15,72922159,72922161,35
chr15,72922161,72922162,34
chr15,72922162,72922170,35
chr15,72922170,72922172,36
chr15,72922172,72922176,34
chr15,72922176,72922177,35
chr15,72922177,72922183,36
chr15,72922183,72922184,38
chr15,72922184,72922185,37
chr15,72922185,72922189,38
chr15,72922189,72922193,36
chr15,72922193,72922204,37
chr15,72922204,72922219,36
chr15,72922219,72922220,36
chr15,72922220,72922221,35
chr15,72922221,72922225,34
chr15,72922225,72922226,33
chr15,72922226,72922230,32
chr15,72922230,72922231,31
chr15,72922231,72922233,32
chr15,72922233,72922235,33
chr15,72922235,72922240,34
chr15,72922240,72922242,33
chr15,72922242,72922251,32
chr15,72922251,72922257,30
chr15,72922257,72922260,29
chr15,72922260,72922279,30
chr15,72922279,72922280,29
chr15,72922280,72922283,28
chr15,72922283,72922284,29
chr15,72922284,72922289,30
chr15,72922289,72922290,31
chr15,72922290,72922294,33
chr15,72922294,72922295,34
chr15,72922295,72922296,35
chr15,72922296,72922298,37
chr15,72922298,72922299,38
chr15,72922299,72922300,39
chr15,72922300,72922301,42
chr15,72922301,72922302,43
chr15,72922302,72922303,44
chr15,72922303,72922306,45
chr15,72922306,72922308,46
chr15,72922308,72922309,49
chr15,72922309,72922310,53
chr15,72922310,72922311,54
chr15,72922311,72922312,55
chr15,72922312,72922314,56
chr15,72922314,72922315,57
chr15,72922315,72922316,58
chr15,72922316,72922317,59
chr15,72922317,72922318,61
chr15,72922318,72922319,60
chr15,72922319,72922322,61
chr15,72922322,72922323,64
chr15,72922323,72922324,70
chr15,72922324,72922326,72
chr15,72922326,72922327,74
chr15,72922327,72922328,75
chr15,72922328,72922329,75
chr15,72922329,72922330,76
chr15,72922330,72922331,78
chr15,72922331,72922332,82
chr15,72922332,72922333,82
chr15,72922333,72922334,83
chr15,72922334,72922337,82
chr15,72922337,72922338,83
chr15,72922338,72922339,85
chr15,72922339,72922340,88
chr15,72922340,72922341,88
chr15,72922341,72922344,89
chr15,72922344,72922345,91
chr15,72922345,72922346,93
chr15,72922346,72922347,95
chr15,72922347,72922349,99
chr15,72922349,72922350,100
chr15,72922350,72922352,103
chr15,72922352,72922353,105
chr15,72922353,72922354,106
chr15,72922354,72922355,107
chr15,72922355,72922356,110
chr15,72922356,72922357,112
chr15,72922357,72922358,114
chr15,72922358,72922359,117
chr15,72922359,72922361,117
chr15,72922361,72922362,120
chr15,72922362,72922363,122
chr15,72922363,72922366,123
chr15,72922366,72922368,126
chr15,72922368,72922370,131
chr15,72922370,72922371,131
chr15,72922371,72922372,133
chr15,72922372,72922373,138
chr15,72922373,72922375,141
chr15,72922375,72922376,143
chr15,72922376,72922377,143
chr15,72922377,72922378,142
chr15,72922378,72922379,143
chr15,72922379,72922380,145
chr15,72922380,72922383,147
chr15,72922383,72922385,146
chr15,72922385,72922387,146
chr15,72922387,72922388,148
chr15,72922388,72922389,150
chr15,72922389,72922391,151
chr15,72922391,72922392,153
chr15,72922392,72922393,155
chr15,72922393,72922394,157
chr15,72922394,72922396,159
chr15,72922396,72922398,161
chr15,72922398,72922399,164
chr15,72922399,72922400,165
chr15,72922400,72922401,166
chr15,72922401,72922402,167
chr15,72922402,72922403,168
chr15,72922403,72922405,170
chr15,72922405,72922406,171
chr15,72922406,72922408,173
chr15,72922408,72922409,175
chr15,72922409,72922410,177
chr15,72922410,72922412,178
chr15,72922412,72922413,180
chr15,72922413,72922415,182
chr15,72922415,72922416,183
chr15,72922416,72922417,184
chr15,72922417,72922419,185
chr15,72922419,72922420,184
chr15,72922420,72922421,185
chr15,72922421,72922423,187
chr15,72922423,72922424,188
chr15,72922424,72922430,189
chr15,72922430,72922431,190
chr15,72922431,72922432,189
chr15,72922432,72922433,190
chr15,72922433,72922434,189
chr15,72922434,72922435,190
chr15,72922435,72922445,189
chr15,72922445,72922449,190
chr15,72922449,72922452,192
chr15,72922452,72922453,194
chr15,72922453,72922457,195
chr15,72922457,72922459,196
chr15,72922459,72922460,197
chr15,72922460,72922465,199
chr15,72922465,72922467,202
chr15,72922467,72922468,203
chr15,72922468,72922469,205
chr15,72922469,72922470,206
chr15,72922470,72922472,207
chr15,72922472,72922475,208
chr15,72922475,72922478,209
chr15,72922478,72922480,211
chr15,72922480,72922481,212
chr15,72922481,72922482,213
chr15,72922482,72922483,215
chr15,72922483,72922484,215
chr15,72922484,72922486,214
chr15,72922486,72922489,215
chr15,72922489,72922490,213
chr15,72922490,72922491,211
chr15,72922491,72922492,212
chr15,72922492,72922494,213
chr15,72922494,72922495,214
chr15,72922495,72922496,213
chr15,72922496,72922498,211
chr15,72922498,72922499,210
chr15,72922499,72922500,210
chr15,72922500,72922501,206
chr15,72922501,72922502,205
chr15,72922502,72922503,205
chr15,72922503,72922506,204
chr15,72922506,72922508,203
chr15,72922508,72922509,200
chr15,72922509,72922510,196
chr15,72922510,72922511,194
chr15,72922511,72922512,192
chr15,72922512,72922514,192
chr15,72922514,72922515,190
chr15,72922515,72922516,189
chr15,72922516,72922517,188
chr15,72922517,72922519,186
chr15,72922519,72922522,185
chr15,72922522,72922523,182
chr15,72922523,72922524,178
chr15,72922524,72922526,176
chr15,72922526,72922527,174
chr15,72922527,72922528,175
chr15,72922528,72922529,174
chr15,72922529,72922530,173
chr15,72922530,72922531,171
chr15,72922531,72922532,167
chr15,72922532,72922533,166
chr15,72922533,72922537,166
chr15,72922537,72922538,165
chr15,72922538,72922539,163
chr15,72922539,72922540,160
chr15,72922540,72922541,159
chr15,72922541,72922542,158
chr15,72922542,72922543,159
chr15,72922543,72922544,161
chr15,72922544,72922545,159
chr15,72922545,72922546,157
chr15,72922546,72922547,154
chr15,72922547,72922549,150
chr15,72922549,72922550,149
chr15,72922550,72922552,146
chr15,72922552,72922553,145
chr15,72922553,72922554,144
chr15,72922554,72922555,143
chr15,72922555,72922556,140
chr15,72922556,72922557,138
chr15,72922557,72922558,136
chr15,72922558,72922559,132
chr15,72922559,72922561,130
chr15,72922561,72922562,127
chr15,72922562,72922563,124
chr15,72922563,72922564,123
chr15,72922564,72922566,124
chr15,72922566,72922568,122
chr15,72922568,72922570,120
chr15,72922570,72922571,119
chr15,72922571,72922572,117
chr15,72922572,72922573,112
chr15,72922573,72922574,109
chr15,72922574,72922575,111
chr15,72922575,72922576,109
chr15,72922576,72922578,108
chr15,72922578,72922579,107
chr15,72922579,72922580,105
chr15,72922580,72922583,105
chr15,72922583,72922584,104
chr15,72922584,72922585,105
chr15,72922585,72922586,104
chr15,72922586,72922587,105
chr15,72922587,72922588,103
chr15,72922588,72922589,101
chr15,72922589,72922591,101
chr15,72922591,72922592,99
chr15,72922592,72922593,97
chr15,72922593,72922594,94
chr15,72922594,72922596,94
chr15,72922596,72922598,92
chr15,72922598,72922599,89
chr15,72922599,72922600,88
chr15,72922600,72922601,87
chr15,72922601,72922602,87
chr15,72922602,72922603,87
chr15,72922603,72922605,85
chr15,72922605,72922606,84
chr15,72922606,72922607,83
chr15,72922607,72922608,84
chr15,72922608,72922609,82
chr15,72922609,72922610,81
chr15,72922610,72922612,80
chr15,72922612,72922613,78
chr15,72922613,72922615,76
chr15,72922615,72922616,75
chr15,72922616,72922617,74
chr15,72922617,72922618,73
chr15,72922618,72922619,74
chr15,72922619,72922620,75
chr15,72922620,72922621,74
chr15,72922621,72922623,73
chr15,72922623,72922624,73
chr15,72922624,72922625,72
chr15,72922625,72922630,73
chr15,72922630,72922631,73
chr15,72922631,72922632,76
chr15,72922632,72922634,75
chr15,72922634,72922635,74
chr15,72922635,72922636,75
chr15,72922636,72922645,76
chr15,72922645,72922646,75
chr15,72922646,72922649,76
chr15,72922649,72922652,75
chr15,72922652,72922653,73
chr15,72922653,72922657,72
chr15,72922657,72922658,71
chr15,72922658,72922659,72
chr15,72922659,72922660,71
chr15,72922660,72922662,68
chr15,72922662,72922664,69
chr15,72922664,72922665,70
chr15,72922665,72922666,67
chr15,72922666,72922667,68
chr15,72922667,72922668,67
chr15,72922668,72922669,65
chr15,72922669,72922670,64
chr15,72922670,72922671,63
chr15,72922671,72922672,64
chr15,72922672,72922673,64
chr15,72922673,72922675,65
chr15,72922675,72922677,64
chr15,72922677,72922678,65
chr15,72922678,72922680,63
chr15,72922680,72922681,62
chr15,72922681,72922682,61
chr15,72922682,72922683,59
chr15,72922683,72922684,58
chr15,72922684,72922685,59
chr15,72922685,72922686,60
chr15,72922686,72922690,59
chr15,72922690,72922691,60
chr15,72922691,72922692,62
chr15,72922692,72922694,61
chr15,72922694,72922695,59
chr15,72922695,72922696,60
chr15,72922696,72922699,62
chr15,72922699,72922700,61
chr15,72922700,72922701,62
chr15,72922701,72922702,63
chr15,72922702,72922707,63
chr15,72922707,72922709,65
chr15,72922709,72922710,66
chr15,72922710,72922712,67
chr15,72922712,72922713,66
chr15,72922713,72922719,67
chr15,72922719,72922721,68
chr15,72922721,72922722,69
chr15,72922722,72922723,70
chr15,72922723,72922725,69
chr15,72922725,72922727,71
chr15,72922727,72922730,70
chr15,72922730,72922733,71
chr15,72922733,72922742,70
chr15,72922742,72922743,70
chr15,72922743,72922745,68
chr15,72922745,72922746,69
chr15,72922746,72922749,70
chr15,72922749,72922752,69
chr15,72922752,72922757,68
chr15,72922757,72922764,70
chr15,72922764,72922766,69
chr15,72922766,72922768,69
chr15,72922768,72922774,66
chr15,72922774,72922775,64
chr15,72922775,72922778,65
chr15,72922778,72922780,66
chr15,72922780,72922784,64
chr15,72922784,72922786,63
chr15,72922786,72922787,62
chr15,72922787,72922789,63
chr15,72922789,72922792,62
chr15,72922792,72922793,63
chr15,72922793,72922794,64
chr15,72922794,72922801,62
chr15,72922801,72922802,61
chr15,72922802,72922803,60
chr15,72922803,72922806,61
chr15,72922806,72922807,60
chr15,72922807,72922809,59
chr15,72922809,72922818,58
chr15,72922818,72922819,57
chr15,72922819,72922821,56
chr15,72922821,72922822,55
chr15,72922822,72922823,56
chr15,72922823,72922825,55
chr15,72922825,72922830,54
chr15,72922830,72922831,53
chr15,72922831,72922833,50
chr15,72922833,72922835,51
chr15,72922835,72922836,50
chr15,72922836,72922846,49
chr15,72922846,72922847,48
chr15,72922847,72922848,49
chr15,72922848,72922849,50
chr15,72922849,72922858,50
chr15,72922858,72922862,50
chr15,72922862,72922864,49
chr15,72922864,72922866,48
chr15,72922866,72922871,47
chr15,72922871,72922872,46
chr15,72922872,72922873,45
chr15,72922873,72922877,44
chr15,72922877,72922884,43
chr15,72922884,72922885,42
chr15,72922885,72922890,41
chr15,72922890,72922891,40
chr15,72922891,72922895,37
chr15,72922895,72922896,36
chr15,72922896,72922900,34
chr15,72922900,72922901,33
chr15,72922901,72922902,32
chr15,72922902,72922907,31
chr15,72922907,72922909,29
chr15,72922909,72922910,28
chr15,72922910,72922913,27
chr15,72922913,72922919,26
chr15,72922919,72922921,25
chr15,72922921,72922922,24
chr15,72922922,72922923,23
chr15,72922923,72922925,22
chr15,72922925,72922927,20
chr15,72922927,72922929,19
chr15,72922929,72922930,20
chr15,72922930,72922942,19
chr15,72922942,72922945,18
chr15,72922945,72922946,17
chr15,72922946,72922957,16
chr15,72922957,72922962,14
chr15,72922962,72922966,15
chr15,72922966,72922972,14
chr15,72922972,72922975,15
chr15,72922975,72922978,14
chr15,72922978,72922987,13
chr15,72922987,72922992,12
chr15,72922992,72922993,11
chr15,72922993,72923003,10
chr15,72923003,72923004,9
chr15,72923004,72923022,10
chr15,72923022,72923033,9
chr15,72923033,72923047,8
chr15,72923047,72923048,7
chr15,72923048,72923049,6
chr15,72923049,72923058,5
chr15,72923058,72923076,4
chr15,72923076,72923101,5
chr15,72923101,72923129,6
chr15,72923129,72923162,5
chr15,72923162,72923165,4
chr15,72923165,72923167,5
chr15,72923167,72923172,6
chr15,72923172,72923204,6
chr15,72923204,72923223,5
chr15,72923223,72923232,7
chr15,72923232,72923233,8
chr15,72923233,72923240,9
chr15,72923240,72923254,10
chr15,72923254,72923274,11
chr15,72923274,72923276,12
chr15,72923276,72923286,11
chr15,72923286,72923301,12
chr15,72923301,72923350,11
chr15,72923350,72923365,12
chr15,72923365,72923367,11
chr15,72923367,72923372,10
chr15,72923372,72923376,9
chr15,72923376,72923379,10
chr15,72923379,72923394,11
chr15,72923394,72923413,12
chr15,72923413,72923423,13
chr15,72923423,72923432,11
chr15,72923432,72923433,10
chr15,72923433,72923440,9
chr15,72923440,72923454,8
chr15,72923454,72923469,7
chr15,72923469,72923474,8
chr15,72923474,72923481,7
chr15,72923481,72923483,8
chr15,72923483,72923486,9
chr15,72923486,72923492,8
chr15,72923492,72923493,9
chr15,72923493,72923550,10
chr15,72923550,72923576,9
chr15,72923576,72923579,8
chr15,72923579,72923586,7
chr15,72923586,72923594,8
chr15,72923594,72923602,7
chr15,72923602,72923610,8
chr15,72923610,72923613,9
chr15,72923613,72923669,8
chr15,72923669,72923681,7
chr15,72923681,72923683,6
chr15,72923683,72923692,5
chr15,72923692,72923693,4
chr15,72923693,72923702,3
chr15,72923702,72923713,4
chr15,72923713,72923717,5
chr15,72923717,72923729,6
chr15,72923729,72923758,7
chr15,72923758,72923767,9
chr15,72923767,72923775,10
chr15,72923775,72923776,11
chr15,72923776,72923786,12
chr15,72923786,72923802,11
chr15,72923802,72923810,10
chr15,72923810,72923823,9
chr15,72923823,72923863,10
chr15,72923863,72923902,11
chr15,72923902,72923913,10
chr15,72923913,72923917,9
chr15,72923917,72923929,8
chr15,72923929,72923953,7
chr15,72923953,72923958,8
chr15,72923958,72923967,6
chr15,72923967,72923975,5
chr15,72923975,72923976,4
chr15,72923976,72924001,3
chr15,72924001,72924002,4
chr15,72924002,72924003,5
chr15,72924003,72924004,6
chr15,72924004,72924023,7
chr15,72924023,72924026,6
chr15,72924026,72924050,7
chr15,72924050,72924063,8
chr15,72924063,72924135,7
chr15,72924135,72924153,8
chr15,72924153,72924201,7
chr15,72924201,72924202,6
chr15,72924202,72924203,5
chr15,72924203,72924204,4
chr15,72924204,72924226,3
chr15,72924226,72924250,2
chr15,72924250,72924335,1
chr15,72924509,72924517,1
chr15,72924517,72924700,3
chr15,72924700,72924709,4
chr15,72924709,72924717,3
chr15,72924717,72924769,1
chr15,72924769,72924797,2
chr15,72924797,72924813,3
chr15,72924813,72924818,4
chr15,72924818,72924833,5
chr15,72924833,72924856,6
chr15,72924856,72924872,7
chr15,72924872,72924874,8
chr15,72924874,72924900,9
chr15,72924900,72924936,8
chr15,72924936,72924939,9
chr15,72924939,72924957,10
chr15,72924957,72924969,11
chr15,72924969,72924988,10
chr15,72924988,72924997,11
chr15,72924997,72925013,10
chr15,72925013,72925018,9
chr15,72925018,72925030,8
chr15,72925030,72925033,9
chr15,72925033,72925040,8
chr15,72925040,72925056,9
chr15,72925056,72925072,8
chr15,72925072,72925074,7
chr15,72925074,72925136,6
chr15,72925136,72925139,5
chr15,72925139,72925157,4
chr15,72925157,72925168,3
chr15,72925168,72925188,4
chr15,72925188,72925217,3
chr15,72925217,72925230,4
chr15,72925230,72925233,3
chr15,72925233,72925240,4
chr15,72925240,72925243,3
chr15,72925243,72925368,4
chr15,72925368,72925417,3
chr15,72925417,72925433,2
chr15,72925433,72925443,1
chr15,72925587,72925739,1
chr15,72925739,72925787,2
chr15,72925787,72925939,1
chr15,72926011,72926085,1
chr15,72926085,72926096,2
chr15,72926096,72926156,3
chr15,72926156,72926211,4
chr15,72926211,72926244,3
chr15,72926244,72926271,4
chr15,72926271,72926283,5
chr15,72926283,72926284,6
chr15,72926284,72926285,7
chr15,72926285,72926296,6
chr15,72926296,72926299,5
chr15,72926299,72926356,6
chr15,72926356,72926444,5
chr15,72926444,72926471,4
chr15,72926471,72926476,3
chr15,72926476,72926483,4
