chrom1,start1,end1,chrom2,start2,end2,name,score,strand1,strand2,samplenumber
chr11,64172456,64183193,chr11,64048807,64052658,,6.81903637321456,.,.,1
chr11,64113009,64151612,chr11,63940889,63943990,,6.7504869050382,.,.,1
chr2,219990639,219994244,chr2,220369160,220372390,,6.74470972158093,.,.,1
chr11,64113009,64151612,chr11,64068878,64079209,,6.70966820080721,.,.,1
chr12,39079774,39098606,chr12,38896367,38899461,,6.64953427595997,.,.,1
chr9,130974183,130986814,chr9,131073160,131079404,,6.63046336482549,.,.,1
chr6,41657043,41667359,chr6,41532338,41534649,,6.57179096131773,.,.,1
chr11,64159283,64172456,chr11,64064464,64068878,,6.53740925892271,.,.,1
chr2,234237637,234259725,chr2,234163674,234170252,,6.48620480907035,.,.,1
chr9,130974183,130986814,chr9,131084153,131094112,,6.47130421029837,.,.,1
chr9,130791423,130808285,chr9,130752939,130760999,,6.41145718566663,.,.,1
chr11,64257815,64274437,chr11,64068878,64079209,,6.30796043145678,.,.,1
chr9,130813169,130836307,chr9,130871803,130882515,,6.30226313763147,.,.,1
chr1,149486035,149500662,chr1,149437817,149445213,,6.28224319595079,.,.,1
chr11,64257815,64274437,chr11,63940889,63943990,,6.17768296346986,.,.,1
chr12,38783681,38787395,chr12,38688804,38696317,,6.17326102926774,.,.,1
chr2,220195899,220212153,chr2,220261160,220269658,,6.17150343668882,.,.,1
chr9,130813169,130836307,chr9,130752939,130760999,,6.17079136869881,.,.,1
chr11,64257815,64274437,chr11,63973254,63975250,,6.17003988552583,.,.,1
chr1,149521008,149535027,chr1,149591317,149596572,,6.15343191865743,.,.,1
chr11,64246362,64255821,chr11,64068878,64079209,,6.13789425984537,.,.,1
chr9,130941363,130958642,chr9,131084153,131094112,,6.101239730495,.,.,1
chr13,112726636,112734690,chr13,112634863,112647248,,6.08652308417786,.,.,1
chr9,130941363,130958642,chr9,131094112,131113080,,6.04611821919875,.,.,1
chr15,41821640,41829551,chr15,41703833,41711734,,6.02618820873777,.,.,1
chr15,41677269,41683191,chr15,41788937,41802339,,6.01016416098119,.,.,1
chr11,64287561,64292391,chr11,63940889,63943990,,5.97686248237222,.,.,1
chr16,60839352,60841760,chr16,61196397,61198944,,5.97358150031013,.,.,1
chr11,64246362,64255821,chr11,63940889,63943990,,5.91931051800934,.,.,1
chr6,132311348,132323867,chr6,132598269,132601507,,5.85029789091315,.,.,1
chrX,122815150,122823467,chrX,123030789,123034872,,5.77487366533118,.,.,1
chrX,122922424,122924506,chrX,122691155,122693712,,5.74844888540679,.,.,1
chr9,130813169,130836307,chr9,131178165,131184879,,5.71504363128092,.,.,1
chr9,130974183,130986814,chr9,131178165,131184879,,5.71208605216275,.,.,1
chr11,64257815,64274437,chr11,63983051,63989789,,5.67447135216809,.,.,1
chr11,64172456,64183193,chr11,64040241,64048807,,5.60981237851323,.,.,1
chr14,53391039,53395325,chr14,52947076,52949351,,5.56601095849154,.,.,1
chr6,74217113,74241547,chr6,74057025,74068921,,5.55289855586568,.,.,1
chr18,59725847,59727771,chr18,59438660,59440066,,5.5446742995373,.,.,1
chr6,41657043,41667359,chr6,41538912,41548252,,5.53117396564165,.,.,1
chr6,41657043,41667359,chr6,41435903,41452283,,5.50763357667873,.,.,1
chr2,234546792,234563031,chr2,234159135,234160343,,5.47238613575377,.,.,1
chr2,220195899,220212153,chr2,220243428,220248090,,5.46975229647219,.,.,1
chr2,234237637,234259725,chr2,234159135,234160343,,5.4469765975516,.,.,1
chr13,112484688,112493413,chr13,112467489,112476632,,5.43196734849772,.,.,1
chr15,41879984,41887322,chr15,41915791,41922335,,5.42357627607947,.,.,1
chr6,41657043,41667359,chr6,41534649,41536791,,5.38459171907682,.,.,1
chr2,220162140,220195899,chr2,220256063,220261160,,5.34488932239822,.,.,1
chr11,64172456,64183193,chr11,64225273,64232845,,5.33334456081909,.,.,1
chr9,130974183,130986814,chr9,131027946,131035474,,5.32195617184546,.,.,1
chr11,64257815,64274437,chr11,64048807,64052658,,5.29844484965743,.,.,1
chr2,220023731,220031714,chr2,220107678,220113964,,5.29517687144925,.,.,1
chr1,149782709,149801791,chr1,149832415,149842393,,5.29057379008043,.,.,1
chr11,64159283,64172456,chr11,64225273,64232845,,5.28095378902298,.,.,1
chr6,41657043,41667359,chr6,41519452,41524415,,5.25664783095111,.,.,1
chr11,63964186,63973254,chr11,64225273,64232845,,5.2350776263531,.,.,1
chr14,53079320,53087013,chr14,52947076,52949351,,5.16543964055361,.,.,1
chr2,234563550,234582756,chr2,234163674,234170252,,5.14820676445856,.,.,1
chr20,33332147,33351940,chr20,33500088,33504130,,5.13733415992256,.,.,1
chr6,74156707,74169611,chr6,74264737,74282199,,5.12129061645454,.,.,1
chr6,132311348,132323867,chr6,132483164,132493134,,5.11245272212064,.,.,1
chr6,132218540,132222065,chr6,132233376,132234381,,5.09353862305811,.,.,1
chr1,149782709,149801791,chr1,149858971,149869734,,5.07791109752941,.,.,1
chr4,118648396,118648849,chr4,118643557,118644979,,5.06992314686022,.,.,1
chr11,64113009,64151612,chr11,63983051,63989789,,5.03326896622381,.,.,1
chr6,41755186,41769245,chr6,41519452,41524415,,5.03283543914638,.,.,1
chr2,220023731,220031714,chr2,220289551,220296136,,5.02091551739195,.,.,1
chr6,132311348,132323867,chr6,132592206,132598269,,4.99610859984022,.,.,1
chr11,64172456,64183193,chr11,64105756,64110108,,4.99051034908918,.,.,1
chr11,64172456,64183193,chr11,63953996,63962978,,4.98224534403051,.,.,1
chr9,130725123,130735798,chr9,130752939,130760999,,4.97613625685474,.,.,1
chr6,132218540,132222065,chr6,132448349,132457758,,4.9760458476697,.,.,1
chrX,122922424,122924506,chrX,122778269,122792973,,4.96946220648671,.,.,1
chr14,52984932,52994096,chr14,53384982,53391039,,4.94956883474701,.,.,1
chr11,64183226,64194305,chr11,63983051,63989789,,4.94503293852758,.,.,1
chr11,64172456,64183193,chr11,64033514,64039146,,4.91572320516729,.,.,1
chr14,53079320,53087013,chr14,53384982,53391039,,4.89326746054591,.,.,1
chr15,41590166,41594198,chr15,41520502,41520830,,4.89240468491448,.,.,1
chr9,130974183,130986814,chr9,131137840,131145300,,4.88841607740306,.,.,1
chr14,52964017,52967438,chr14,53405050,53412764,,4.88416808220061,.,.,1
chr13,112396810,112408064,chr13,112428318,112432277,,4.85823402191711,.,.,1
chr2,220195899,220212153,chr2,220091842,220107678,,4.84718894238858,.,.,1
chr2,219994244,220004463,chr2,220107678,220113964,,4.84016246643491,.,.,1
chr13,112792148,112801701,chr13,112338065,112340842,,4.84011987031318,.,.,1
chr6,41774431,41784463,chr6,41850807,41853533,,4.82707344390833,.,.,1
chr20,33357341,33358672,chr20,33492365,33500088,,4.79458073807474,.,.,1
chr11,64183226,64194305,chr11,63940889,63943990,,4.76491581743725,.,.,1
chrX,122924506,122931666,chrX,122792973,122812731,,4.70929335407279,.,.,1
chr6,74156707,74169611,chr6,74176886,74178741,,4.66584644344478,.,.,1
chr13,112396810,112408064,chr13,112476632,112484688,,4.63796332345207,.,.,1
chr9,130935563,130941363,chr9,131084153,131094112,,4.63621772742714,.,.,1
chr6,41774431,41784463,chr6,41435903,41452283,,4.61746513707389,.,.,1
chr6,132311348,132323867,chr6,132385854,132390729,,4.6130411273009,.,.,1
chr13,112792148,112801701,chr13,112615712,112634863,,4.61220942928136,.,.,1
chr9,130974183,130986814,chr9,131042625,131061109,,4.59805610076839,.,.,1
chr6,132311348,132323867,chr6,132428638,132436939,,4.57265232385551,.,.,1
chr14,52984932,52994096,chr14,52947076,52949351,,4.56897774702079,.,.,1
chr2,220195899,220212153,chr2,220302143,220306384,,4.56224487922177,.,.,1
chr20,33657759,33672876,chr20,33708529,33712713,,4.55579846465575,.,.,1
chr18,59590697,59595013,chr18,59742495,59749540,,4.55431637870351,.,.,1
chr11,64246362,64255821,chr11,63953996,63962978,,4.54065290908559,.,.,1
chr11,64280463,64287561,chr11,64068878,64079209,,4.50941884114667,.,.,1
chr11,64246362,64255821,chr11,63983051,63989789,,4.49317198666899,.,.,1
chr11,64159283,64172456,chr11,64033514,64039146,,4.49216085380318,.,.,1
chr11,64159283,64172456,chr11,64048807,64052658,,4.4752755620869,.,.,1
chr11,64079209,64105756,chr11,63940889,63943990,,4.46795946982119,.,.,1
chr13,112396810,112408064,chr13,112536216,112544479,,4.46753661184017,.,.,1
chr13,112762651,112775903,chr13,112338065,112340842,,4.45977136009487,.,.,1
chr6,74156707,74169611,chr6,74057025,74068921,,4.42133850271911,.,.,1
chr6,74134768,74155788,chr6,73911807,73914194,,4.40999165833014,.,.,1
chr20,33587426,33618232,chr20,33753415,33756338,,4.40103807218359,.,.,1
chr6,41657043,41667359,chr6,41508408,41519452,,4.39257632243204,.,.,1
chr6,74134768,74155788,chr6,74096118,74098647,,4.38438733036721,.,.,1
chr1,149885374,149903150,chr1,149858971,149869734,,4.37080406954945,.,.,1
chr14,52964017,52967438,chr14,53426559,53428334,,4.34122952798551,.,.,1
chr13,112396810,112408064,chr13,112432277,112443091,,4.3383639317124,.,.,1
chr13,112396810,112408064,chr13,112443091,112446063,,4.33454633477592,.,.,1
chr6,41657043,41667359,chr6,41564321,41569190,,4.33408262963847,.,.,1
chrX,122924506,122931666,chrX,122691155,122693712,,4.31873717718743,.,.,1
chrX,122924506,122931666,chrX,122778269,122792973,,4.28839991480968,.,.,1
chr6,132218540,132222065,chr6,132246562,132257807,,4.27916324937113,.,.,1
chr6,41657043,41667359,chr6,41489489,41492951,,4.25975651167701,.,.,1
chr6,74217113,74241547,chr6,74113260,74116017,,4.25189105473414,.,.,1
chr13,112342758,112353234,chr13,112536216,112544479,,4.20994918453319,.,.,1
chr1,149521008,149535027,chr1,149642521,149645203,,4.20844134670106,.,.,1
chrX,122924506,122931666,chrX,122744380,122750587,,4.20690952089038,.,.,1
chr1,149486035,149500662,chr1,149642521,149645203,,4.18044867755619,.,.,1
chr1,149599808,149616891,chr1,149858971,149869734,,4.1602254530762,.,.,1
chr6,74134768,74155788,chr6,74282199,74283483,,4.14928846861071,.,.,1
chr2,220162140,220195899,chr2,220107678,220113964,,4.14706045338314,.,.,1
chr11,64159283,64172456,chr11,64040241,64048807,,4.14169290883432,.,.,1
chr2,51897413,51903329,chr2,51517721,51527793,,4.13502024105273,.,.,1
chr1,149885374,149903150,chr1,149813051,149820029,,4.12369751260897,.,.,1
chrX,122922424,122924506,chrX,123021975,123028440,,4.11847743758907,.,.,1
chr11,64301402,64315786,chr11,64388223,64399221,,4.11656379402675,.,.,1
chr20,33358672,33369416,chr20,33500088,33504130,,4.11176359879092,.,.,1
chr18,59689793,59690128,chr18,59682259,59685161,,4.10822983892912,.,.,1
chrX,122815150,122823467,chrX,122744380,122750587,,4.0958023315458,.,.,1
chr14,53420630,53422217,chr14,52947076,52949351,,4.08650071602436,.,.,1
chrX,122922424,122924506,chrX,122730391,122732140,,4.08585801000446,.,.,1
chrX,122924506,122931666,chrX,122750587,122777704,,4.08514390470542,.,.,1
chr13,112396810,112408064,chr13,112446063,112459615,,4.08445911970598,.,.,1
chr13,112484688,112493413,chr13,112338065,112340842,,4.07385077289821,.,.,1
chr2,220126565,220149129,chr2,220256063,220261160,,4.06266010228673,.,.,1
chr11,64159283,64172456,chr11,63953996,63962978,,4.06170201376508,.,.,1
chrX,122922424,122924506,chrX,122983543,122985655,,4.04122811688669,.,.,1
chr2,118472030,118477333,chr2,118303558,118311555,,4.03776088041269,.,.,1
chr1,149782709,149801791,chr1,149813051,149820029,,4.03544320198909,.,.,1
chr9,130941363,130958642,chr9,131137840,131145300,,4.01584653921484,.,.,1
chr18,59725847,59727771,chr18,59724570,59725847,,4.01001210772976,.,.,1
chr14,53105219,53106857,chr14,52947076,52949351,,4.00015434009048,.,.,1
chr2,220195899,220212153,chr2,220153551,220157125,,3.9822586630964,.,.,1
chr2,234348363,234369858,chr2,234163674,234170252,,3.98109984231018,.,.,1
chr1,149678247,149693499,chr1,149832415,149842393,,3.95742951140302,.,.,1
chr6,41406510,41420410,chr6,41748858,41755186,,3.91652961006924,.,.,1
chr2,220195899,220212153,chr2,220241350,220243428,,3.88048220652063,.,.,1
chr2,118472030,118477333,chr2,118311555,118313865,,3.87359109467056,.,.,1
chr9,130935563,130941363,chr9,131160202,131175769,,3.86217123132803,.,.,1
chr11,64113009,64151612,chr11,63973254,63975250,,3.8607310425164,.,.,1
chr9,130908519,130917337,chr9,131084153,131094112,,3.85664790009625,.,.,1
chr1,149521008,149535027,chr1,149625281,149634867,,3.85440606810181,.,.,1
chr15,41579781,41590166,chr15,41537554,41550921,,3.84222196053482,.,.,1
chr6,132218540,132222065,chr6,132606094,132616591,,3.8357757876808,.,.,1
chrX,122922424,122924506,chrX,122826641,122842640,,3.8335266681208,.,.,1
chr13,112390743,112394445,chr13,112428318,112432277,,3.83323425491719,.,.,1
chr1,149678247,149693499,chr1,149813051,149820029,,3.83246187517239,.,.,1
chr1,149678247,149693499,chr1,149858971,149869734,,3.82584287744459,.,.,1
chr11,64079209,64105756,chr11,63983051,63989789,,3.81842255816978,.,.,1
chr1,149763061,149776312,chr1,149858971,149869734,,3.8116373912919,.,.,1
chr14,53023670,53026335,chr14,53405050,53412764,,3.80905839458883,.,.,1
chr20,33484989,33492365,chr20,33381601,33390613,,3.80576836544591,.,.,1
chrX,122922424,122924506,chrX,122744380,122750587,,3.80534892903346,.,.,1
chrX,122815150,122823467,chrX,122908567,122915697,,3.79985015398148,.,.,1
chr9,130974183,130986814,chr9,131000575,131009473,,3.79516004816732,.,.,1
chr13,112342758,112353234,chr13,112586352,112590823,,3.79173274269574,.,.,1
chr14,52964017,52967438,chr14,53437572,53442834,,3.76484281905078,.,.,1
chr11,63964186,63973254,chr11,64221464,64225273,,3.75897825139503,.,.,1
chr11,64172456,64183193,chr11,64052658,64054189,,3.75400514183702,.,.,1
chr13,112342758,112353234,chr13,112428318,112432277,,3.7512074920482,.,.,1
chr2,220195899,220212153,chr2,220113964,220115177,,3.75060471991464,.,.,1
chr20,33587426,33618232,chr20,33646761,33649167,,3.7495424665293,.,.,1
chr6,41774431,41784463,chr6,41519452,41524415,,3.74900350768171,.,.,1
chr1,149782709,149801791,chr1,149820029,149821383,,3.74719714617975,.,.,1
chr13,112342758,112353234,chr13,112432277,112443091,,3.74360936292372,.,.,1
chr15,41821640,41829551,chr15,41613076,41621542,,3.74015992912857,.,.,1
chr9,130935563,130941363,chr9,131178165,131184879,,3.73922595057546,.,.,1
chr9,130813169,130836307,chr9,131160202,131175769,,3.73584264720576,.,.,1
chr14,52984932,52994096,chr14,53405050,53412764,,3.73347538224616,.,.,1
chr2,234563550,234582756,chr2,234159135,234160343,,3.73226651747105,.,.,1
chr9,130908519,130917337,chr9,130926436,130934098,,3.71916338648895,.,.,1
chr13,112390743,112394445,chr13,112467489,112476632,,3.71761151076558,.,.,1
chr21,39679021,39686248,chr21,39593461,39595765,,3.71105004695366,.,.,1
chr6,74134768,74155788,chr6,74113260,74116017,,3.7086968344426,.,.,1
chr13,112390743,112394445,chr13,112816824,112824287,,3.6955297315412,.,.,1
chr1,149470589,149481934,chr1,149437817,149445213,,3.68241849315496,.,.,1
chr12,38989900,38997714,chr12,38856975,38863057,,3.68222626679667,.,.,1
chr6,132311348,132323867,chr6,132465963,132475654,,3.67145354634389,.,.,1
chr20,33727235,33731258,chr20,33646761,33649167,,3.67026508216215,.,.,1
chr6,41794736,41823688,chr6,41435903,41452283,,3.65033630709307,.,.,1
chr15,41579781,41590166,chr15,41788937,41802339,,3.64952954663474,.,.,1
chr11,63964186,63973254,chr11,64064464,64068878,,3.64285872041622,.,.,1
chrX,122815150,122823467,chrX,122691155,122693712,,3.63981351667389,.,.,1
chr16,25803896,25806187,chr16,25789357,25791673,,3.6364633085417,.,.,1
chr9,130908519,130917337,chr9,131178165,131184879,,3.63600276554915,.,.,1
chr2,220031714,220041079,chr2,220107678,220113964,,3.62572055590431,.,.,1
chrX,122922424,122924506,chrX,122995334,122997194,,3.62334519459485,.,.,1
chr11,64183226,64194305,chr11,64068878,64079209,,3.61786937520688,.,.,1
chr21,39679021,39686248,chr21,39623969,39634689,,3.61502276363975,.,.,1
chr5,141998353,142008494,chr5,142250800,142253762,,3.5933925007615,.,.,1
chr11,64280463,64287561,chr11,64225273,64232845,,3.58621187781316,.,.,1
chr13,112734690,112762651,chr13,112833902,112834176,,3.57770383656077,.,.,1
chr21,39670720,39674411,chr21,39607953,39608802,,3.57341929487302,.,.,1
chr11,64159283,64172456,chr11,64024919,64025211,,3.56401866589032,.,.,1
chr1,149763061,149776312,chr1,149832415,149842393,,3.56363169780156,.,.,1
chr6,41774431,41784463,chr6,41456543,41459228,,3.56285483150097,.,.,1
chr6,74156707,74169611,chr6,74186675,74190184,,3.55952131877753,.,.,1
chr9,130908519,130917337,chr9,131094112,131113080,,3.55250358641038,.,.,1
chr6,74217113,74241547,chr6,74282199,74283483,,3.5522754449564,.,.,1
chr1,149885374,149903150,chr1,149466614,149470589,,3.54175290175811,.,.,1
chr2,51887964,51897128,chr2,51517721,51527793,,3.5354121419948,.,.,1
chr2,51798251,51803279,chr2,51803279,51804404,,3.5193160290839,.,.,1
chr18,59762758,59769443,chr18,59772966,59773597,,3.51337426074431,.,.,1
chr6,74134768,74155788,chr6,74186675,74190184,,3.51054017500488,.,.,1
chr9,130941363,130958642,chr9,131160202,131175769,,3.50482947962997,.,.,1
chr11,64246362,64255821,chr11,64105756,64110108,,3.5012046689048,.,.,1
chrX,122924506,122931666,chrX,122823467,122825403,,3.49248212133157,.,.,1
chr6,41755186,41769245,chr6,41532338,41534649,,3.491013698091,.,.,1
chr1,149885374,149903150,chr1,149669018,149678247,,3.4890231706953,.,.,1
chr11,64159283,64172456,chr11,64105756,64110108,,3.47566549279413,.,.,1
chr11,64280463,64287561,chr11,63940889,63943990,,3.47394187289772,.,.,1
chr1,149424685,149437817,chr1,149591317,149596572,,3.46841268314048,.,.,1
chr16,61285410,61292131,chr16,60833950,60839352,,3.46829691568742,.,.,1
chr13,112342758,112353234,chr13,112443091,112446063,,3.45472638482602,.,.,1
chr11,64257815,64274437,chr11,64064464,64068878,,3.44528736289394,.,.,1
chr14,52984932,52994096,chr14,53329036,53332482,,3.44242959489053,.,.,1
chr20,33397507,33401320,chr20,33403330,33404306,,3.44147502506667,.,.,1
chr13,112396810,112408064,chr13,112647248,112663512,,3.4231445023,.,.,1
chr11,64399221,64411578,chr11,63940889,63943990,,3.41787428551294,.,.,1
chr9,130908519,130917337,chr9,131042625,131061109,,3.41621530558189,.,.,1
chr6,132683540,132687949,chr6,132358873,132359673,,3.41134187393661,.,.,1
chr6,74134768,74155788,chr6,74176886,74178741,,3.40271686498724,.,.,1
chr9,130941363,130958642,chr9,131073160,131079404,,3.3958074060401,.,.,1
chr20,33304929,33307586,chr20,33492365,33500088,,3.39529809269205,.,.,1
chr14,53079320,53087013,chr14,53405050,53412764,,3.39387338115006,.,.,1
chr1,149599808,149616891,chr1,149437817,149445213,,3.37609499752721,.,.,1
chr12,38978063,38981004,chr12,38856975,38863057,,3.37565246329734,.,.,1
chrX,122924506,122931666,chrX,122826641,122842640,,3.37490191312522,.,.,1
chr2,234505189,234507141,chr2,234507141,234508424,,3.37246062069342,.,.,1
chr15,41590166,41594198,chr15,41557310,41558077,,3.37239645809632,.,.,1
chr14,53349576,53350253,chr14,53347192,53349576,,3.37061129689567,.,.,1
chr1,149486035,149500662,chr1,149858971,149869734,,3.37050922319215,.,.,1
chr14,53247927,53251887,chr14,53405050,53412764,,3.35984368968916,.,.,1
chr6,41657043,41667359,chr6,41524415,41531872,,3.35088308101933,.,.,1
chr6,41794736,41823688,chr6,41519452,41524415,,3.34701905573731,.,.,1
chr6,132311348,132323867,chr6,132589178,132592206,,3.34348569328442,.,.,1
chr14,52977366,52981635,chr14,52947076,52949351,,3.33324734944535,.,.,1
chr20,33682777,33686822,chr20,33693242,33694208,,3.32774143757665,.,.,1
chr11,63964186,63973254,chr11,64048807,64052658,,3.3248174208676,.,.,1
chr9,130813169,130836307,chr9,130760999,130775143,,3.32478392476335,.,.,1
chr1,149486035,149500662,chr1,149625281,149634867,,3.31863819178689,.,.,1
chr14,53312157,53314759,chr14,52947076,52949351,,3.31365019443242,.,.,1
chr1,149885374,149903150,chr1,149832415,149842393,,3.30546655160894,.,.,1
chr6,41774431,41784463,chr6,41469211,41473486,,3.3026791010217,.,.,1
chr15,41579781,41590166,chr15,41557310,41558077,,3.29958267035349,.,.,1
chr6,108784020,108793231,chr6,108614063,108617913,,3.28145269485552,.,.,1
chr14,52984932,52994096,chr14,53347192,53349576,,3.26923869083012,.,.,1
chr6,132311348,132323867,chr6,132463890,132465867,,3.2666843660683,.,.,1
chr6,74119688,74132767,chr6,74264737,74282199,,3.26209558408584,.,.,1
chr6,132311348,132323867,chr6,132274273,132285040,,3.25983365067981,.,.,1
chrX,123053153,123056255,chrX,123042529,123044851,,3.25560048085883,.,.,1
chr6,41755186,41769245,chr6,41534649,41536791,,3.25084713298542,.,.,1
chr1,149885374,149903150,chr1,149713793,149718965,,3.24800596821651,.,.,1
chrX,122815150,122823467,chrX,122710473,122711384,,3.24674882269611,.,.,1
chr15,41590166,41594198,chr15,41520089,41520502,,3.24455432578948,.,.,1
chr20,33458206,33471290,chr20,33381601,33390613,,3.24377529615892,.,.,1
chr9,130974183,130986814,chr9,131021945,131027946,,3.23488590944581,.,.,1
chr21,39679021,39686248,chr21,39609105,39611903,,3.2322953703605,.,.,1
chr9,130974183,130986814,chr9,131137000,131137840,,3.23057390686699,.,.,1
chr6,41774431,41784463,chr6,41844474,41850807,,3.22945185688915,.,.,1
chr2,219994244,220004463,chr2,220261160,220269658,,3.22819010495837,.,.,1
chr5,56235885,56242655,chr5,55924428,55926121,,3.22599475138029,.,.,1
chr13,112726636,112734690,chr13,112615712,112634863,,3.21935918079187,.,.,1
chr11,64183226,64194305,chr11,64064464,64068878,,3.21886097313534,.,.,1
chr13,112342758,112353234,chr13,112372266,112376032,,3.21488337319368,.,.,1
chr11,64287561,64292391,chr11,64048807,64052658,,3.20315804547657,.,.,1
chr6,74119688,74132767,chr6,74057025,74068921,,3.20067232715576,.,.,1
chr20,33587426,33618232,chr20,33696965,33701252,,3.19632181070794,.,.,1
chr6,132683540,132687949,chr6,132274273,132285040,,3.18401205910262,.,.,1
chr5,142057237,142058592,chr5,141942725,141947110,,3.16616014697053,.,.,1
chr13,112551768,112561564,chr13,112467489,112476632,,3.16229191467337,.,.,1
chr2,220162140,220195899,chr2,220302143,220306384,,3.16050039991552,.,.,1
chr13,112396810,112408064,chr13,112416982,112417513,,3.16008096716969,.,.,1
chr11,64274437,64276482,chr11,64068878,64079209,,3.1575536629815,.,.,1
chr11,64292391,64294902,chr11,63940889,63943990,,3.15526755898609,.,.,1
chr6,74217113,74241547,chr6,74096118,74098647,,3.14476970077971,.,.,1
chr9,130974183,130986814,chr9,131133787,131137000,,3.13355216807164,.,.,1
chr9,130974183,130986814,chr9,131175769,131178165,,3.13306317337403,.,.,1
chr20,33756338,33764000,chr20,33583765,33587426,,3.12983944688815,.,.,1
chr14,53357141,53360901,chr14,52947076,52949351,,3.12601553584586,.,.,1
chr1,149782709,149801791,chr1,149842393,149844788,,3.12567117263308,.,.,1
chr6,132311348,132323867,chr6,132578451,132580993,,3.12293382280411,.,.,1
chr11,64399221,64411578,chr11,64068878,64079209,,3.11315934981102,.,.,1
chr6,108784020,108793231,chr6,108541299,108545383,,3.11090601246973,.,.,1
chr6,74134768,74155788,chr6,74015580,74025379,,3.11017590222926,.,.,1
chr2,220023731,220031714,chr2,220256063,220261160,,3.10830626055191,.,.,1
chr6,74217113,74241547,chr6,74116017,74119688,,3.10560138197156,.,.,1
chr11,64183226,64194305,chr11,63953996,63962978,,3.10416143035213,.,.,1
chr9,130813169,130836307,chr9,130926436,130934098,,3.1022246611754,.,.,1
chr9,130813169,130836307,chr9,131084153,131094112,,3.09574079086019,.,.,1
chr6,132311348,132323867,chr6,132436939,132442345,,3.09505607083557,.,.,1
chr6,74119688,74132767,chr6,74186675,74190184,,3.07767713298183,.,.,1
chr2,219994244,220004463,chr2,220256063,220261160,,3.07666316580036,.,.,1
chr21,39679021,39686248,chr21,39607953,39608802,,3.06517012736,.,.,1
chr11,64280463,64287561,chr11,63953996,63962978,,3.04127422376779,.,.,1
chr13,112396810,112408064,chr13,112514486,112518084,,3.02926895676598,.,.,1
chr6,74156707,74169611,chr6,74113260,74116017,,3.0214680977357,.,.,1
chr5,142057237,142058592,chr5,142054452,142057237,,3.01057097240642,.,.,1
chr9,130813169,130836307,chr9,130960432,130966236,,3.00610681773489,.,.,1
chr1,149575685,149589318,chr1,149642521,149645203,,3.00215253389,.,.,1
chr1,149634960,149642521,chr1,149813051,149820029,,3.001521751183,.,.,1
